title,artist,filename,genre
Amor de Cabaret (with Río Roma),La Sonora Santanera,La Sonora Santanera - Amor de Cabaret (with Río Roma).mp3,"salsa, cumbia, tejano, ranchera, latin pop"
Tonight Will Be Alright,Lionel Richie,Lionel Richie - Tonight Will Be Alright.mp3,"quiet storm, soft rock, pop, urban, adult contemporary"
Pink World,Planet P Project,Planet P Project - Pink World.mp3,"new wave, progressive rock, space rock, eurodance, hard rock"
Spanish Grease,Willie Bobo,Willie Bobo - Spanish Grease.mp3,"latin jazz, jazz funk, boogaloo, soul jazz, salsa"
Something Girls,Adam Ant,Adam Ant - Something Girls.mp3,"pop rock, new wave, dance rock, rock, new romantic"
Setting Fire to Sleeping Giants,The Dillinger Escape Plan,The Dillinger Escape Plan - Setting Fire to Sleeping Giants.mp3,"math-core, grindcore, hardcore punk, tech metal, punk metal"
High Tide,Richard Souther,Richard Souther - High Tide.mp3,"chill-out, smooth jazz, orchestra, jazz, celtic"
Kassie Jones,Alice Stuart,Alice Stuart - Kassie Jones.mp3,"electric blues, blues, country blues, blues-rock, folk rock"
I Didn't Mean To,Casual,Casual - I Didn't Mean To.mp3,"hip hop, underground rap, g funk, alternative rap, gothic rock"
Drop of Rain,Tweeterfriendly Music,Tweeterfriendly Music - Drop of Rain.mp3,"post-hardcore, screamo, emo, hardcore, punk revival"
Crazy Mixed Up World,Faye Adams,Faye Adams - Crazy Mixed Up World.mp3,"jump blues, east coast blues, piano blues, blues, r&b"
Do You Finally Need A Friend,Terry Callier,Terry Callier - Do You Finally Need A Friend.mp3,"soul jazz, future jazz, smooth jazz, acid jazz, jazz funk"
In a Subtle Way,Jacob Young,Jacob Young - In a Subtle Way.mp3,"cool jazz, free jazz, soul jazz, country rock, jazz"
Spin,Scarlet's Remains,Scarlet's Remains - Spin.mp3,"gothic metal, deathrock, horror punk, neofolk, gothic rock"
Setanta matins,Élena,Élena - Setanta matins.mp3,"uk garage, pop folk, jazz fusion, chalga, jazz"
It Makes the Difference Now,Billie Jo Spears,Billie Jo Spears - It Makes the Difference Now.mp3,"classic country, motown, oldies, rockabilly, traditional country"
Crossfire,Stevie Ray Vaughan & Double Trouble,Stevie Ray Vaughan & Double Trouble - Crossfire.mp3,"texas blues, blues, blues-rock, modern electric blues, rock"
Nashville Parthenon,Casiotone for the Painfully Alone,Casiotone for the Painfully Alone - Nashville Parthenon.mp3,"trip hop, indietronica, electro, neofolk, indie rock"
Human Cannonball,Loudon Wainwright III,Loudon Wainwright III - Human Cannonball.mp3,"modern rock, singer-songwriter, folk, rock, vocal"
Young Boy Blues,JennyAnyKind,JennyAnyKind - Young Boy Blues.mp3,"alternative rock, indie rock, rock, alternative pop rock, alternative"
Oute Ena Efharisto,Despina Vandi,Despina Vandi - Oute Ena Efharisto.mp3,"dance pop, british pop, modern laika, eurodance, club"
The More I See You,Eliane Elias,Eliane Elias - The More I See You.mp3,"brazilian jazz, latin jazz, hard bop, jazz funk, vocal jazz"
Stream,Suzanne Ciani,Suzanne Ciani - Stream.mp3,"meditation, chill-out, downtempo, new age, easy listening"
I Can't Be Satisfied,John Hammond,John Hammond - I Can't Be Satisfied.mp3,"blues, blues-rock, motown, chicago blues, rockabilly"
Forming (Studio Recording 1977),The Germs,The Germs - Forming (Studio Recording 1977).mp3,"rock, punk, los angeles, grunge, southern rock"
Stickin In My Eye,NOFX,NOFX - Stickin In My Eye.mp3,"punk, rock, alternative punk rock, punk pop, skate punk"
Certain Things We Do (Album Version Explicit),Lost Boyz,Lost Boyz - Certain Things We Do (Album Version Explicit).mp3,"gangster rap, g funk, hip hop, east coast hip hop, rap"
Glory Be,R.L. Burnside,R.L. Burnside - Glory Be.mp3,"delta blues, blues-rock, electric blues, blues, juke joint blues"
Too Much Saturn,Francis Dunnery,Francis Dunnery - Too Much Saturn.mp3,"singer-songwriter, art rock, soundtrack, progressive rock, pop rock"
Driving Home for Christmas,Chris Rea,Chris Rea - Driving Home for Christmas.mp3,"soft rock, blues-rock, pop rock, country rock, singer-songwriter"
I Will Love Again (JJ's Club Radio),TARAS,TARAS - I Will Love Again (JJ's Club Radio).mp3,"trance, electronic, dance, house, techno"
An ti chans' (Remastered 2024),Edith Lefel,Edith Lefel - An ti chans' (Remastered 2024).mp3,"zouk, merengue, kizomba, zouklove, reggae"
Burning In The Aftermath,The Suicide Machines,The Suicide Machines - Burning In The Aftermath.mp3,"ska punk, post-grunge, skacore, ska, skate punk"
Wicker Chair,Kings Of Leon,Kings Of Leon - Wicker Chair.mp3,"southern rock, alternative rock, rock, nashville, american trad rock"
Entre Caníbales (Remasterizado 2007),Soda Stereo,Soda Stereo - Entre Caníbales (Remasterizado 2007).mp3,"rock, latin pop, ska, reggae, rap"
Make Me Over,Vickie Winans,Vickie Winans - Make Me Over.mp3,"ccm, soul jazz, hip hop, italian disco, trip hop"
Sudanese Dance,Xcultures,Xcultures - Sudanese Dance.mp3,"gabba, happy hardcore, world beat, chill-out, disco"
Rosemary Recalls,Bruce Rowland,Bruce Rowland - Rosemary Recalls.mp3,"easy listening, chill-out, soundtrack, orchestra, classical"
"Human Being (Recorded at Planet Studios, NYC, March 1973)",The New York Dolls,"The New York Dolls - Human Being (Recorded at Planet Studios, NYC, March 1973).mp3","glam rock, hard rock, protopunk, rock 'n roll, blues-rock"
Ota kiinni,Murskahumppa,Murskahumppa - Ota kiinni.mp3,"suomi rock, humppa, hardcore punk, finish, punk"
Mafuá,Yamandu Costa,Yamandu Costa - Mafuá.mp3,"brazilian jazz, brazilian pop music, choro, jazz, brazilian"
Deform (live),The Berzerker,The Berzerker - Deform (live).mp3,"speedcore, grindcore, gabba, death metal, breakcore"
Wanna Be A Player (Album Version),Heavy D,Heavy D - Wanna Be A Player (Album Version).mp3,"pop rap, hip hop, new jack swing, broken beat, europop"
Sabor Guajiro,Roberto Torres,Roberto Torres - Sabor Guajiro.mp3,"salsa, charanga, vallenato, latin jazz, samba"
Complicate It,Smartbomb,Smartbomb - Complicate It.mp3,"melodic hardcore, post-grunge, hardcore punk, punk, hardcore"
Cocain Ducks,Ec8or,Ec8or - Cocain Ducks.mp3,"hardcore techno, digital hardcore, breakcore, industrial metal, gabba"
Let's Get It Started (Spike Mix),The Black Eyed Peas,The Black Eyed Peas - Let's Get It Started (Spike Mix).mp3,"hip hop, rap, funk, r&b, pop"
Dixie,Hank Penny and The Lincoln Penny Orchestra,Hank Penny and The Lincoln Penny Orchestra - Dixie.mp3,"western swing, classic country, jazz, country, folk"
Indian love call,Slim Whitman,Slim Whitman - Indian love call.mp3,"folk-pop, country rock, pop rock, classic country, ballad"
I Never Came (Alive in the Catacombs),Queens Of The Stone Age,Queens Of The Stone Age - I Never Came (Alive in the Catacombs).mp3,"stoner metal, alternative metal, heavy metal, hard rock, rock"
I'm Gone This Time,Glen Campbell,Glen Campbell - I'm Gone This Time.mp3,"country rock, soft rock, pop rock, folk rock, ballad"
"Now's The Time To Fall In Love (from ""The Eddie Cantor Story"")",Eddie Cantor,Eddie Cantor - Now's The Time To Fall In Love (from _The Eddie Cantor Story_).mp3,"easy listening, vaudeville, ragtime, jazz, world music"
Metal (Remix),Nine Inch Nails,Nine Inch Nails - Metal (Remix).mp3,"industrial metal, alternative metal, industrial rock, alternative rock, rock"
Commercial Reign,Inspiral Carpets,Inspiral Carpets - Commercial Reign.mp3,"indie rock, psychedelic rock, madchester, dance rock, rock"
Next Time,Nadine Renee,Nadine Renee - Next Time.mp3,"freestyle, disco, hard house, dance pop, progressive trance"
You Can Still Be Free,Savage Garden,Savage Garden - You Can Still Be Free.mp3,"easy listening, pop, rock, adult contemporary, ballad"
Hourglass (Edited),Borialis,Borialis - Hourglass (Edited).mp3,"rap rock, rapcore, funk metal, nu metal, hip hop"
A Distant Voice,Sonny Simmons,Sonny Simmons - A Distant Voice.mp3,"free jazz, jazz, los angeles, free music, free improvisation"
President Johnson,Citizen Kaned,Citizen Kaned - President Johnson.mp3,"chill-out, dub, progressive trance, downtempo, electronic"
Teräslintu,Solistiyhtye Suomi,Solistiyhtye Suomi - Teräslintu.mp3,"german pop, humppa, polka, patriotic, folk"
Wake,The Dirty Skirts,The Dirty Skirts - Wake.mp3,"indie rock, singer-songwriter, indie, sxsw 2007, south african"
This Melody (Live),Julien Clerc,Julien Clerc - This Melody (Live).mp3,"chanson, ballad, pop, disco, blues-rock"
It's My Party,Lesley Gore,Lesley Gore - It's My Party.mp3,"brill building pop, oldies, ballad, soft rock, motown"
Openbare Weg,MIRA,MIRA - Openbare Weg.mp3,"shoegaze, dream pop, rock, dark wave, slow core"
Up From The Skies,Ellen McIlwaine,Ellen McIlwaine - Up From The Skies.mp3,"blues-rock, jazz funk, latin jazz, country blues, future jazz"
Lead Me Lord,The Brooklyn Tabernacle Choir,The Brooklyn Tabernacle Choir - Lead Me Lord.mp3,"gospel, black gospel, contemporary gospel, contemporary christian, christian"
Un Golpe Más,Flor Silvestre,Flor Silvestre - Un Golpe Más.mp3,"ranchera, mexico, los angeles, folk, latin"
WKYA (Drop),Redman,Redman - WKYA (Drop).mp3,"hip hop, rap, hardcore rap, east coast rap, funk"
Ma Louise,Maurice Chevalier,Maurice Chevalier - Ma Louise.mp3,"chanson, latin jazz, cabaret, ballad, jazz"
Hate,Organized Konfusion,Organized Konfusion - Hate.mp3,"hip hop, chill-out, east coast hip hop, jazz rap, trip hop"
I Can't Stop Loving You,Martina McBride,Martina McBride - I Can't Stop Loving You.mp3,"country, country music, pop, acoustic, contemporary country"
Thank You Lord,Horace Andy,Horace Andy - Thank You Lord.mp3,"roots reggae, lovers rock, dub, reggae, trip hop"
On Bended Knee,Boyz II Men,Boyz II Men - On Bended Knee.mp3,"new jack swing, urban, soul, adult contemporary, ballad"
Choro (Remastered 1998),Vince Guaraldi,Vince Guaraldi - Choro (Remastered 1998).mp3,"latin jazz, chamber jazz, soul jazz, jazz funk, jazz fusion"
Candy Man,Hot Tuna,Hot Tuna - Candy Man.mp3,"blues-rock, blues, folk rock, psychedelic rock, rock"
Three Is a Crowd,Rory Block,Rory Block - Three Is a Crowd.mp3,"delta blues, blues, ballad, country blues, folk rock"
Cheatin' In the Next Room,Tyrone Davis,Tyrone Davis - Cheatin' In the Next Room.mp3,"chicago soul, disco, southern soul, funk, northern soul"
Eternamente Ámame,Miguel Gallardo,Miguel Gallardo - Eternamente Ámame.mp3,"male vocalist, latin pop, mexico, latin, los angeles"
Mangos,Kai Winding,Kai Winding - Mangos.mp3,"hard bop, bebop, latin jazz, jazz, funk"
Niev nietch nievitch (Instrumental),Les Ogres de Barback,Les Ogres de Barback - Niev nietch nievitch (Instrumental).mp3,"chanson, gypsy jazz, chill-out, musette, ska"
You Rascal You,Bob Margolin,Bob Margolin - You Rascal You.mp3,"blues-rock, chicago blues, massachusetts, blues, classic rock"
My Four Reasons,Howard Armstrong,Howard Armstrong - My Four Reasons.mp3,"piedmont blues, country blues, blues, folk, tin pan alley"
Le Tortillard,Bézu,Bézu - Le Tortillard.mp3,"chanson, bossa nova, black metal, pop, electronic"
Christlike Roche,The Roches,The Roches - Christlike Roche.mp3,"singer-songwriter, folk-pop, close harmony, folk rock, contemporary folk"
Brasas Vivas,Nelson Ned,Nelson Ned - Brasas Vivas.mp3,"latin jazz, mariachi, brazilian pop music, karaoke, thrash metal"
Hips Don't Lie (feat. Wyclef Jean),Shakira,Shakira - Hips Don't Lie (feat. Wyclef Jean).mp3,"dance pop, pop, latin, urban, adult contemporary"
Kolomeyke,Traditionnel,Traditionnel - Kolomeyke.mp3,"vocal house, hard house, funky house, progressive house, club"
Biding Her Time,Bob Neuwirth,Bob Neuwirth - Biding Her Time.mp3,"singer-songwriter, oldies, blues, world fusion, folk"
You Feel Good All Over,T.G. Sheppard,T.G. Sheppard - You Feel Good All Over.mp3,"country rock, rock, country, country pop, folk"
Hanging On (Medium Key Performance Track Without Background Vocals),Britt Nicole,Britt Nicole - Hanging On (Medium Key Performance Track Without Background Vocals).mp3,"ccm, pop rock, soft rock, christian music, grindcore"
Te Hacen Falta Vitaminas (Remasterizado 2007),Soda Stereo,Soda Stereo - Te Hacen Falta Vitaminas (Remasterizado 2007).mp3,"rock, latin pop, ska, reggae, rap"
White Feather,Wolfmother,Wolfmother - White Feather.mp3,"stoner metal, alternative metal, heavy metal, hard rock, rock"
Sympathy,Thomas Battenstein,Thomas Battenstein - Sympathy.mp3,guitar
I See the Boys of Summer,Richard Burton,Richard Burton - I See the Boys of Summer.mp3,"jazz fusion, jam band, improvisational, jazz, synthpop"
Groovin' In The Midnight (Morales Extended Version),Maxi Priest,Maxi Priest - Groovin' In The Midnight (Morales Extended Version).mp3,"lovers rock, pop rap, reggae, hip hop, dancehall"
Simon's Folly,Dharma Bums,Dharma Bums - Simon's Folly.mp3,"progressive house, breakbeat, hard trance, techno, trance"
I Want Love (Tween You & Me),Tony Joe White,Tony Joe White - I Want Love (Tween You & Me).mp3,"country rock, blues-rock, swamp pop, southern rock, outlaw country"
2190 Dias Contigo,Sven Tasnadi,Sven Tasnadi - 2190 Dias Contigo.mp3,"tech house, deep house, techno, broken beat, italian disco"
Sense And Trick,Xmilk,Xmilk - Sense And Trick.mp3,"thrash core, hardcore punk, punk, hardcore, old school"
Cowboy Ways,James Hunter,James Hunter - Cowboy Ways.mp3,"blue-eyed soul, jazz funk, smooth jazz, blues-rock, r&b"
Juoksuhauta-twist (Elämä juoksuhaudoissa),The Avengers,The Avengers - Juoksuhauta-twist (Elämä juoksuhaudoissa).mp3,"rock, garage rock, punk, new wave, hardcore punk"
Christmas In Jamaica (feat. Shaggy),Toni Braxton,Toni Braxton - Christmas In Jamaica (feat. Shaggy).mp3,"dance pop, rock, urban, adult contemporary, club"
Gossippo Perpetuo,Perrey And Kingsley,Perrey And Kingsley - Gossippo Perpetuo.mp3,"easy listening, dubstep, jazz funk, big beat, space age pop"
Waiting Phase One,Porcupine Tree,Porcupine Tree - Waiting Phase One.mp3,"experimental rock, art rock, post rock, experimental, ambient"
Festa,Gil Semedo,Gil Semedo - Festa.mp3,"zouk, kizomba, island music, zouklove, r&b"
Heaven Is Where The Heart Is,The Rance Allen Group,The Rance Allen Group - Heaven Is Where The Heart Is.mp3,"jazz funk, soul jazz, funk, disco, latin jazz"
Bulgarian dream feat. Boika Prissadova,Kiril Valeri,Kiril Valeri - Bulgarian dream feat. Boika Prissadova.mp3,"flamenco, rumba, ska punk, folk rock, pop rock"
Hell,Foo Fighters,Foo Fighters - Hell.mp3,"grunge, alternative rock, hard rock, rock, seattle"
Inside Job,Pearl Jam,Pearl Jam - Inside Job.mp3,"grunge, hard rock, rock, alternative rock, alternative"
We're Gonna Go Fishin',Hank Locklin,Hank Locklin - We're Gonna Go Fishin'.mp3,"honky tonk, country rock, ballad, chanson, classic country"
Born and Raised In Compton,DJ Quik,DJ Quik - Born and Raised In Compton.mp3,"gangster rap, hip hop, g funk, broken beat, trip hop"
One Less Bell to Answer,Brazilian Tropical Orchestra,Brazilian Tropical Orchestra - One Less Bell to Answer.mp3,"bossa nova, orchestra, latin jazz, easy listening, disco"
Dearly Beloved,Norrie Paramor,Norrie Paramor - Dearly Beloved.mp3,"easy listening, pop, classical, jazz, rock"
Bitch Is Back,L.A. Guns,L.A. Guns - Bitch Is Back.mp3,"heavy metal, hard rock, glam rock, glam metal, rock"
Crazy (Single Version),Patsy Cline,Patsy Cline - Crazy (Single Version).mp3,"country gospel, classic country, rockabilly, oldies, christmas music"
The Vitalized Shell,Enthroned,Enthroned - The Vitalized Shell.mp3,"black metal, heavy metal, rock, blackened death metal, extreme metal"
Cooler Than You,Diesel Boy,Diesel Boy - Cooler Than You.mp3,"pop rock, pop punk, rock, punk, skate punk"
Taryn's Deepest Fear (2015 Remaster),Angelo Badalamenti,Angelo Badalamenti - Taryn's Deepest Fear (2015 Remaster).mp3,"chill-out, soundtrack, symphony, neoclassical, dark ambient"
Orgofart,Descendents,Descendents - Orgofart.mp3,"hardcore punk, rock, punk, progressive, los angeles"
No Control,Eddie Money,Eddie Money - No Control.mp3,"frevo, samba, banda, rockabilly, bossa nova"
Summer Dying Fast,Cradle Of Filth,Cradle Of Filth - Summer Dying Fast.mp3,"sympho black metal, black metal, heavy metal, death metal, metal"
Mozart,Suzanne Ciani,Suzanne Ciani - Mozart.mp3,"meditation, chill-out, downtempo, new age, easy listening"
Letter to Heaven,Dolly Parton,Dolly Parton - Letter to Heaven.mp3,"bluegrass, singer-songwriter, female vocalist, country, pop"
Amalgama,Zurdo ZMZ,Zurdo ZMZ - Amalgama.mp3,"blues-rock, jazz blues, downtempo, easy listening, intelligent dance music"
7 Miles Bridge,The Square / T-Square,The Square _ T-Square - 7 Miles Bridge.mp3,"rap, hip hop, pop, german, freestyle"
Jogo Limpo,Flávio José,Flávio José - Jogo Limpo.mp3,"brazil, forro, gaita, north east, world reggae"
Snowball,Test Icicles,Test Icicles - Snowball.mp3,"grime, indie rock, garage rock, dance-punk, electro"
Master of Disharmony,Dimmu Borgir,Dimmu Borgir - Master of Disharmony.mp3,"black metal, death metal, heavy metal, metal, extreme metal"
Para Milladoiro,Susana Seivane,Susana Seivane - Para Milladoiro.mp3,"gaita, celtic, folk, traditional, instrumental"
Snapshot (Robin M. Instrumental),Ladybug,Ladybug - Snapshot (Robin M. Instrumental).mp3,"dancehall, italian disco, dubstep, breakbeat, dub"
The Frail,Nine Inch Nails,Nine Inch Nails - The Frail.mp3,"industrial metal, alternative metal, industrial rock, alternative rock, rock"
Still,Jim Chappell,Jim Chappell - Still.mp3,"chamber jazz, smooth jazz, chill-out, new age, easy listening"
Stone Cold Fingers (Bonus Track),Leland Martin,Leland Martin - Stone Cold Fingers (Bonus Track).mp3,"honky tonk, massachusetts, country, traditional country, electronic"
Ciao Milan,Milan Band,Milan Band - Ciao Milan.mp3,"serialism, contemporary classical music, minimal"
Naked Albino,Bare JR.,Bare JR. - Naked Albino.mp3,"post-grunge, alternative country, hard rock, male vocalist, alternative rock"
New Age,Daniela Dessì,Daniela Dessì - New Age.mp3,"opera, los angeles, requiem"
"God Save The Queen (Live From Finsbury Park,London,United Kingdom/1996)",Sex Pistols,"Sex Pistols - God Save The Queen (Live From Finsbury Park,London,United Kingdom_1996).mp3","punk, italy, british punk rock, soundtrack, progressive rock"
What Are We Here For,Gary Moore,Gary Moore - What Are We Here For.mp3,"blues-rock, hard rock, pop rock, soft rock, blues"
Forever,Chris Brown,Chris Brown - Forever.mp3,"r&b, hip hop, rap, urban, blues"
Our Love is Here to Stay,Pery Ribeiro,Pery Ribeiro - Our Love is Here to Stay.mp3,"bossa nova, brazilian pop music, samba, latin, jazz"
Perasmena Mesanihta,Dakis,Dakis - Perasmena Mesanihta.mp3,greek
U Killed It,Lily Allen,Lily Allen - U Killed It.mp3,"ska, pop, england, london, electropop"
This Is Not a Love Song,Public Image Limited,Public Image Limited - This Is Not a Love Song.mp3,"dance rock, alternative dance, experimental rock, noise rock, madchester"
Kako mi je pitas sad,Ana Bekuta,Ana Bekuta - Kako mi je pitas sad.mp3,"pop folk, turbo folk, disco, serbia, folk"
(We Don't Need This) Fascist Groove Thang (Remastered 2006),Heaven 17,Heaven 17 - (We Don't Need This) Fascist Groove Thang (Remastered 2006).mp3,"new romantic, dance rock, italian disco, new wave, electronic"
Une petite pause,PASCAL SANGLA,PASCAL SANGLA - Une petite pause.mp3,french pop
All Rise,Scott Wesley Brown,Scott Wesley Brown - All Rise.mp3,"modern rock, rock, inspirational, gospel, christian"
Going Down Slow,Mance Lipscomb,Mance Lipscomb - Going Down Slow.mp3,"texas blues, country blues, blues, delta blues, blues-rock"
Sun is Shining,Deekline & Wizard,Deekline & Wizard - Sun is Shining.mp3,"breakbeat, uk garage, electro, nu breaks, grime"
Charisma Remixed,Sven Tasnadi,Sven Tasnadi - Charisma Remixed.mp3,"tech house, deep house, techno, broken beat, italian disco"
The Look Of Love,Gary Hobbs,Gary Hobbs - The Look Of Love.mp3,"tejano, latin pop, classic, jazz, singer"
Gerra De De,DJ Dips,DJ Dips - Gerra De De.mp3,"turnablism, folk, dj"
Have Yourself A Merry Little Christmas,Hem,Hem - Have Yourself A Merry Little Christmas.mp3,"folk-pop, easy listening, alternative country, countrypolitan, folk"
Voices on the Corner,Jason Miles,Jason Miles - Voices on the Corner.mp3,"jazz fusion, hard bop, smooth jazz, meditation, instrumental pop"
Everything Changes,Soular,Soular - Everything Changes.mp3,"breakbeat, broken beat, funk rock, post rock, shoegaze"
Rain and Snow,Pentangle,Pentangle - Rain and Snow.mp3,"british invasion, chill-out, celtic rock, folk rock, celtic"
I Wish My Mother Was Here,Byther Smith,Byther Smith - I Wish My Mother Was Here.mp3,"chicago blues, electric blues, delta blues, blues-rock, blues"
Retratos-Ernesto Nazareth (Instrumental),Laurindo Almeida,Laurindo Almeida - Retratos-Ernesto Nazareth (Instrumental).mp3,"latin jazz, brazilian jazz, bossa nova, samba, tango"
(Bloody Paw on the) Kill Floor,Busdriver,Busdriver - (Bloody Paw on the) Kill Floor.mp3,"alternative hip hop, turnablism, underground rap, indie rock, trip hop"
Silent Hill,Moss,Moss - Silent Hill.mp3,"future jazz, trip hop, downtempo, acid jazz, drone doom metal"
Pecado de Amor (Album Version),José Augusto,José Augusto - Pecado de Amor (Album Version).mp3,"latin pop, brazilian, male vocalist, rock, pop"
Beyond the Light,Aberdeen,Aberdeen - Beyond the Light.mp3,"twee pop, pop rock, indie rock, rock, indie pop"
Illuminate,Orbital,Orbital - Illuminate.mp3,"techno, intelligent dance music, electronica, ambient, england"
Inolvidable,Bebo Valdés,Bebo Valdés - Inolvidable.mp3,"latin jazz, flamenco, bolero, bossa nova, world music"
Pulecenella 'e mò,Gloriana,Gloriana - Pulecenella 'e mò.mp3,"teen pop, country rock, country music, female vocalist, country"
It Goes On,20/20,20_20 - It Goes On.mp3,"power pop, pop rock, new wave, rock, hip hop"
"Britten: Four Sea Interludes from Peter Grimes, Op. 33a: No. 4, Storm",Sir Neville Marriner,"Sir Neville Marriner - Britten_ Four Sea Interludes from Peter Grimes, Op. 33a_ No. 4, Storm.mp3","requiem, concerto, symphony, opera, orchestra"
Hey Daddy,Korn,Korn - Hey Daddy.mp3,"rap metal, alternative metal, heavy metal, rock, metal"
Not Buried Deep Enough,The Gone Jackals,The Gone Jackals - Not Buried Deep Enough.mp3,"blues-rock, video game music, heavy metal, grindcore, hard rock"
Give Me 40 Acres (To Turn This Rig Around) (Rerecorded),The Willis Brothers,The Willis Brothers - Give Me 40 Acres (To Turn This Rig Around) (Rerecorded).mp3,"western swing, bluegrass, traditional country, country, classic"
Witch Weed (Live),Bongzilla,Bongzilla - Witch Weed (Live).mp3,"stoner metal, sludge metal, doom metal, heavy metal, stoner rock"
Amber Changing,Rise Against,Rise Against - Amber Changing.mp3,"hardcore punk, rock, punk, hardcore, punk revival"
Murder Academy,Ultraviolence,Ultraviolence - Murder Academy.mp3,"gabba, happy hardcore, hardcore techno, hard trance, techno"
Never Forget Me (Album Version Explicit),Bone Thugs-N-Harmony,Bone Thugs-N-Harmony - Never Forget Me (Album Version Explicit).mp3,"gangster rap, rap, hardcore rap, west coast rap, cleveland"
Mountains Of Mourne,The Irish Tenors,The Irish Tenors - Mountains Of Mourne.mp3,"irish folk, opera, irish, christmas music, folk"
Ukkosenjumalan poika (Live At The Astoria),Moonsorrow,Moonsorrow - Ukkosenjumalan poika (Live At The Astoria).mp3,"viking metal, sympho black metal, doom metal, tech house, black metal"
Oh Look Misery,Blind Blake,Blind Blake - Oh Look Misery.mp3,"country blues, piedmont blues, delta blues, ragtime, chicago blues"
Walk Away,Tantric,Tantric - Walk Away.mp3,"post-grunge, grunge, chill-out, j pop, modern rock"
Get Back Down,Boogie Pimps,Boogie Pimps - Get Back Down.mp3,"hard house, progressive house, hard trance, trance, tech house"
Kick out the Jams,Rage Against the Machine,Rage Against the Machine - Kick out the Jams.mp3,"rap metal, alternative metal, heavy metal, rap, rock"
I Need You Now (Extended),Agnes,Agnes - I Need You Now (Extended).mp3,"europop, tech house, christian rock, electropop, heavy metal"
Me and My Buddy,Jazz Gillum,Jazz Gillum - Me and My Buddy.mp3,"chicago blues, country blues, harmonica blues, blues, slide"
Kite (Live From Sydney),U2,U2 - Kite (Live From Sydney).mp3,"dance rock, pop rock, british pop, ballad, classic rock"
The Cube (live),S.U.P,S.U.P - The Cube (live).mp3,"doom metal, progressive metal, death metal, heavy metal, metal"
Spaceman,The Killers,The Killers - Spaceman.mp3,"rock, alternative, rave, disco, new wave"
Everything Is a Memory (Beanz N Kornbread Rework),Slow Meadow,Slow Meadow - Everything Is a Memory (Beanz N Kornbread Rework).mp3,"rap metal, alternative metal, heavy metal, rock, metal"
Police Officer 1986,Smiley Culture,Smiley Culture - Police Officer 1986.mp3,"gabba, happy hardcore, world beat, chill-out, disco"
Shadows That Move,Mastodon,Mastodon - Shadows That Move.mp3,"alternative metal, power metal, post-hardcore, progressive metal, heavy metal"
English Summer Rain,Placebo,Placebo - English Summer Rain.mp3,"british pop, rock, alternative, indie, london"
Yesterday,Percy Faith & His Orchestra,Percy Faith & His Orchestra - Yesterday.mp3,"instrumental pop, easy listening, ballad, disco, pop rock"
Beautiful Brown Eyes,Jimmy Wakely,Jimmy Wakely - Beautiful Brown Eyes.mp3,"classic country, western swing, blues-rock, country music, blues"
Haunting,Lore,Lore - Haunting.mp3,"trip hop, nu metal, british pop, dark wave, electropop"
Teacher's Pet,Extreme,Extreme - Teacher's Pet.mp3,"funk metal, heavy metal, hard rock, blues-rock, soft rock"
La Plus bath des javas,Yvette Horner,Yvette Horner - La Plus bath des javas.mp3,"chanson, bolero, ballad, musette, easy listening"
Musical Episode,Horace Andy,Horace Andy - Musical Episode.mp3,"roots reggae, lovers rock, dub, reggae, trip hop"
