file,audio_path,raw_feature_path,msd_track_id,deezer_track_id,sample_rate,duration_sec,frames,cluster_label,distance_to_centroid,is_outlier,cluster_size
2 Minutos - Tema De Adrian [TRAWYCO128F9322CE1] [deezer-4154503].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2 Minutos - Tema De Adrian [TRAWYCO128F9322CE1] [deezer-4154503].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2 Minutos - Tema De Adrian [TRAWYCO128F9322CE1] [deezer-4154503].npz,TRAWYCO128F9322CE1,4154503,22050,29.0,0,1,0.02459075,False,772
2 Minutos - Valentin Alsina [TRAVOLQ128F9322DB4] [deezer-2959697291].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2 Minutos - Valentin Alsina [TRAVOLQ128F9322DB4] [deezer-2959697291].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2 Minutos - Valentin Alsina [TRAVOLQ128F9322DB4] [deezer-2959697291].npz,TRAVOLQ128F9322DB4,2959697291,22050,29.0,0,1,0.015040345,False,772
2 Minutos - Valentin Alsina [TRAVOLQ128F9322DB4] [deezer-4154699].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2 Minutos - Valentin Alsina [TRAVOLQ128F9322DB4] [deezer-4154699].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2 Minutos - Valentin Alsina [TRAVOLQ128F9322DB4] [deezer-4154699].npz,TRAVOLQ128F9322DB4,4154699,22050,29.0,0,1,0.0147163095,False,772
2 Minutos - Vos No Confiaste [TRAJMQE128F9322DDD] [deezer-4154494].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2 Minutos - Vos No Confiaste [TRAJMQE128F9322DDD] [deezer-4154494].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2 Minutos - Vos No Confiaste [TRAJMQE128F9322DDD] [deezer-4154494].npz,TRAJMQE128F9322DDD,4154494,22050,29.0,0,1,0.008346179,False,772
2-4 Grooves - Relax (Neitan Radio Mix) [TRAAMKP12903CC74F4] [deezer-61948277].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2-4 Grooves - Relax (Neitan Radio Mix) [TRAAMKP12903CC74F4] [deezer-61948277].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2-4 Grooves - Relax (Neitan Radio Mix) [TRAAMKP12903CC74F4] [deezer-61948277].npz,TRAAMKP12903CC74F4,61948277,22050,29.0,0,4,0.027018256,False,830
20_20 - I Never Did No Hitler [TRBBNIV12903CD4755] [deezer-6027135].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/20_20 - I Never Did No Hitler [TRBBNIV12903CD4755] [deezer-6027135].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/20_20 - I Never Did No Hitler [TRBBNIV12903CD4755] [deezer-6027135].npz,TRBBNIV12903CD4755,6027135,22050,29.0,0,4,0.022325365,False,830
20_20 - It Goes On [TRAASDM12903CD474E] [deezer-6027128].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/20_20 - It Goes On [TRAASDM12903CD474E] [deezer-6027128].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/20_20 - It Goes On [TRAASDM12903CD474E] [deezer-6027128].npz,TRAASDM12903CD474E,6027128,22050,29.0,0,10,0.031954285,False,660
20_20 - So Many Reasons [TRASFDP12903CD475A] [deezer-6027140].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/20_20 - So Many Reasons [TRASFDP12903CD475A] [deezer-6027140].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/20_20 - So Many Reasons [TRASFDP12903CD475A] [deezer-6027140].npz,TRASFDP12903CD475A,6027140,22050,29.0,0,4,0.018243352,False,830
22-20s - Hold On [TRBGWVI128E0788AE7] [deezer-3137326].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/22-20s - Hold On [TRBGWVI128E0788AE7] [deezer-3137326].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/22-20s - Hold On [TRBGWVI128E0788AE7] [deezer-3137326].npz,TRBGWVI128E0788AE7,3137326,22050,29.0,0,10,0.022069076,False,660
23rd Turnoff - Michaelangelo [TRAYBGC128F92E03EC] [deezer-1172081].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/23rd Turnoff - Michaelangelo [TRAYBGC128F92E03EC] [deezer-1172081].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/23rd Turnoff - Michaelangelo [TRAYBGC128F92E03EC] [deezer-1172081].npz,TRAYBGC128F92E03EC,1172081,22050,29.0,0,0,0.010177358,False,556
2Fresh - Get It Started (Digital Souls Tribal Workout) [TRAFZTM12903CB1F7B] [deezer-15310071].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2Fresh - Get It Started (Digital Souls Tribal Workout) [TRAFZTM12903CB1F7B] [deezer-15310071].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2Fresh - Get It Started (Digital Souls Tribal Workout) [TRAFZTM12903CB1F7B] [deezer-15310071].npz,TRAFZTM12903CB1F7B,15310071,22050,29.0,0,6,0.010672366,False,538
2XL - Kissing Game [TRBFOLO12903CB2676] [deezer-520350232].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2XL - Kissing Game [TRBFOLO12903CB2676] [deezer-520350232].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2XL - Kissing Game [TRBFOLO12903CB2676] [deezer-520350232].npz,TRBFOLO12903CB2676,520350232,22050,29.0,0,5,0.021505121,False,605
2raumwohnung - Ja (Hanno's Poppersmonstermix) [TRACAQW128F428E2B7] [deezer-1754330487].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2raumwohnung - Ja (Hanno's Poppersmonstermix) [TRACAQW128F428E2B7] [deezer-1754330487].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2raumwohnung - Ja (Hanno's Poppersmonstermix) [TRACAQW128F428E2B7] [deezer-1754330487].npz,TRACAQW128F428E2B7,1754330487,22050,29.0,0,6,0.023606269,False,538
2raumwohnung - Lachen und weinen [TRALPQV128F424F989] [deezer-1754329067].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2raumwohnung - Lachen und weinen [TRALPQV128F424F989] [deezer-1754329067].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2raumwohnung - Lachen und weinen [TRALPQV128F424F989] [deezer-1754329067].npz,TRALPQV128F424F989,1754329067,22050,29.0,0,2,0.023879383,False,719
2raumwohnung - Mädchen mit Plan [TRBCJIX128F424F99E] [deezer-1760523497].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2raumwohnung - Mädchen mit Plan [TRBCJIX128F424F99E] [deezer-1760523497].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2raumwohnung - Mädchen mit Plan [TRBCJIX128F424F99E] [deezer-1760523497].npz,TRBCJIX128F424F99E,1760523497,22050,29.0,0,6,0.024305772,False,538
2raumwohnung - Rette mich später [TRAKVCR12903CC764E] [deezer-1758789797].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2raumwohnung - Rette mich später [TRAKVCR12903CC764E] [deezer-1758789797].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2raumwohnung - Rette mich später [TRAKVCR12903CC764E] [deezer-1758789797].npz,TRAKVCR12903CC764E,1758789797,22050,29.0,0,6,0.04039982,False,538
"3 Doors Down - Be Like That (Rarities Edition_ Live At Cynthia Woods Mitchell Pavilion, Houston, TX, 2003) [TRAXJHG128F427EA02] [deezer-548590252].wav","/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/3 Doors Down - Be Like That (Rarities Edition_ Live At Cynthia Woods Mitchell Pavilion, Houston, TX, 2003) [TRAXJHG128F427EA02] [deezer-548590252].wav","/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/3 Doors Down - Be Like That (Rarities Edition_ Live At Cynthia Woods Mitchell Pavilion, Houston, TX, 2003) [TRAXJHG128F427EA02] [deezer-548590252].npz",TRAXJHG128F427EA02,548590252,22050,29.0,0,0,0.019787839,False,556
"3 Doors Down - Better Life (Rarities Edition_ Live At Cynthia Woods Mitchell Pavilion, Houston, TX, 2003) [TRBHKKK128F427E9FF] [deezer-548590232].wav","/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/3 Doors Down - Better Life (Rarities Edition_ Live At Cynthia Woods Mitchell Pavilion, Houston, TX, 2003) [TRBHKKK128F427E9FF] [deezer-548590232].wav","/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/3 Doors Down - Better Life (Rarities Edition_ Live At Cynthia Woods Mitchell Pavilion, Houston, TX, 2003) [TRBHKKK128F427E9FF] [deezer-548590232].npz",TRBHKKK128F427E9FF,548590232,22050,29.0,0,10,0.026759552,False,660
"3 Doors Down - Duck And Run (Live At The Congress Theater, Chicago_2003) [TRASZUN128F148B165] [deezer-139875919].wav","/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/3 Doors Down - Duck And Run (Live At The Congress Theater, Chicago_2003) [TRASZUN128F148B165] [deezer-139875919].wav","/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/3 Doors Down - Duck And Run (Live At The Congress Theater, Chicago_2003) [TRASZUN128F148B165] [deezer-139875919].npz",TRASZUN128F148B165,139875919,22050,29.0,0,1,0.0138759175,False,772
3 Doors Down - Here Without You [TRBDWDQ128F1455787] [deezer-2172900].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/3 Doors Down - Here Without You [TRBDWDQ128F1455787] [deezer-2172900].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/3 Doors Down - Here Without You [TRBDWDQ128F1455787] [deezer-2172900].npz,TRBDWDQ128F1455787,2172900,22050,29.0,0,0,0.028588004,False,556
"3 Doors Down - It's Not Me (Live At The Congress Theater, Chicago_2003) [TRACBWP128C7196948] [deezer-139875937].wav","/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/3 Doors Down - It's Not Me (Live At The Congress Theater, Chicago_2003) [TRACBWP128C7196948] [deezer-139875937].wav","/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/3 Doors Down - It's Not Me (Live At The Congress Theater, Chicago_2003) [TRACBWP128C7196948] [deezer-139875937].npz",TRACBWP128C7196948,139875937,22050,29.0,0,10,0.027152112,False,660
3 Doors Down - Sarah Yellin' 86 (Escatawpa Sessions) [TRACUEE128F427EA05] [deezer-1280030062].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/3 Doors Down - Sarah Yellin' 86 (Escatawpa Sessions) [TRACUEE128F427EA05] [deezer-1280030062].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/3 Doors Down - Sarah Yellin' 86 (Escatawpa Sessions) [TRACUEE128F427EA05] [deezer-1280030062].npz,TRACUEE128F427EA05,1280030062,22050,29.0,0,10,0.026828581,False,660
3 Doors Down - Who Are You (Album Version) [TRAVPHL128F424EAE1] [deezer-930575].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/3 Doors Down - Who Are You (Album Version) [TRAVPHL128F424EAE1] [deezer-930575].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/3 Doors Down - Who Are You (Album Version) [TRAVPHL128F424EAE1] [deezer-930575].npz,TRAVPHL128F424EAE1,930575,22050,29.0,0,1,0.025194079,False,772
3 Of Hearts - Is It Love [TRBFANX128F42934C3] [deezer-13212654].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/3 Of Hearts - Is It Love [TRBFANX128F42934C3] [deezer-13212654].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/3 Of Hearts - Is It Love [TRBFANX128F42934C3] [deezer-13212654].npz,TRBFANX128F42934C3,13212654,22050,29.0,0,9,0.017393392,False,782
3 Steps Ahead - My Mind Is Gone (Interlude) [TRAHRGA12903CBB8AA] [deezer-1205251072].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/3 Steps Ahead - My Mind Is Gone (Interlude) [TRAHRGA12903CBB8AA] [deezer-1205251072].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/3 Steps Ahead - My Mind Is Gone (Interlude) [TRAHRGA12903CBB8AA] [deezer-1205251072].npz,TRAHRGA12903CBB8AA,1205251072,22050,29.0,0,3,0.019552236,False,468
3 Way Funk - Real Playaz [TRALMDB12903CCE912] [deezer-6163098].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/3 Way Funk - Real Playaz [TRALMDB12903CCE912] [deezer-6163098].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/3 Way Funk - Real Playaz [TRALMDB12903CCE912] [deezer-6163098].npz,TRALMDB12903CCE912,6163098,22050,29.0,0,5,0.008617799,False,605
32 Leaves - Way Beyond [TRBCQLB128F9332CF4] [deezer-124945790].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/32 Leaves - Way Beyond [TRBCQLB128F9332CF4] [deezer-124945790].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/32 Leaves - Way Beyond [TRBCQLB128F9332CF4] [deezer-124945790].npz,TRBCQLB128F9332CF4,124945790,22050,29.0,0,10,0.015000408,False,660
3OH!3 - CHOKECHAIN [TRASHYD128F93119EE] [deezer-903260].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/3OH!3 - CHOKECHAIN [TRASHYD128F93119EE] [deezer-903260].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/3OH!3 - CHOKECHAIN [TRASHYD128F93119EE] [deezer-903260].npz,TRASHYD128F93119EE,903260,22050,29.0,0,5,0.021383546,False,605
40 Grit - A Part Of Me [TRAKJYQ128F934B22E] [deezer-70879551].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/40 Grit - A Part Of Me [TRAKJYQ128F934B22E] [deezer-70879551].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/40 Grit - A Part Of Me [TRAKJYQ128F934B22E] [deezer-70879551].npz,TRAKJYQ128F934B22E,70879551,22050,29.0,0,0,0.028223405,False,556
40 Grit - Intro [TRABCTK128F934B224] [deezer-70879541].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/40 Grit - Intro [TRABCTK128F934B224] [deezer-70879541].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/40 Grit - Intro [TRABCTK128F934B224] [deezer-70879541].npz,TRABCTK128F934B224,70879541,22050,29.0,0,2,0.020273797,False,719
45 Grave - Consumers [TRAVPSC128F147BEA8] [deezer-3666774].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/45 Grave - Consumers [TRAVPSC128F147BEA8] [deezer-3666774].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/45 Grave - Consumers [TRAVPSC128F147BEA8] [deezer-3666774].npz,TRAVPSC128F147BEA8,3666774,22050,29.0,0,1,0.009218072,False,772
45 Grave - Party Time [TRAJZYI128F424B412] [deezer-1742910].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/45 Grave - Party Time [TRAJZYI128F424B412] [deezer-1742910].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/45 Grave - Party Time [TRAJZYI128F424B412] [deezer-1742910].npz,TRAJZYI128F424B412,1742910,22050,29.0,0,1,0.016060347,False,772
45 Grave - Surf Bat [TRAGQCY128F147B630] [deezer-3879346].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/45 Grave - Surf Bat [TRAGQCY128F147B630] [deezer-3879346].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/45 Grave - Surf Bat [TRAGQCY128F147B630] [deezer-3879346].npz,TRAGQCY128F147B630,3879346,22050,29.0,0,9,0.02735311,False,782
4Him - A Strange Way To Save The World [TRBIGGV12903CABC77] [deezer-15767431].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/4Him - A Strange Way To Save The World [TRBIGGV12903CABC77] [deezer-15767431].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/4Him - A Strange Way To Save The World [TRBIGGV12903CABC77] [deezer-15767431].npz,TRBIGGV12903CABC77,15767431,22050,29.0,0,7,0.0119207455,False,678
4Him - Freedom [TRAJHEE12903CB937A] [deezer-6090975].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/4Him - Freedom [TRAJHEE12903CB937A] [deezer-6090975].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/4Him - Freedom [TRAJHEE12903CB937A] [deezer-6090975].npz,TRAJHEE12903CB937A,6090975,22050,29.0,0,9,0.009844926,False,782
4Him - He Never Changes [TRBCPTO12903CBBFD9] [deezer-15752139].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/4Him - He Never Changes [TRBCPTO12903CBBFD9] [deezer-15752139].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/4Him - He Never Changes [TRBCPTO12903CBBFD9] [deezer-15752139].npz,TRBCPTO12903CBBFD9,15752139,22050,29.0,0,9,0.01201174,False,782
4Him - Wings [TRAFGMJ128F930F532] [deezer-15752145].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/4Him - Wings [TRAFGMJ128F930F532] [deezer-15752145].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/4Him - Wings [TRAFGMJ128F930F532] [deezer-15752145].npz,TRAFGMJ128F930F532,15752145,22050,29.0,0,2,0.023425478,False,719
4Him - You Are Holy [TRAOTVL12903CABE54] [deezer-139419459].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/4Him - You Are Holy [TRAOTVL12903CABE54] [deezer-139419459].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/4Him - You Are Holy [TRAOTVL12903CABE54] [deezer-139419459].npz,TRAOTVL12903CABE54,139419459,22050,29.0,0,0,0.040498845,False,556
5 Blind Boys Of Alabama - If You Don't Pray For Me [TRAXOHK128F42514BE] [deezer-1717486].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/5 Blind Boys Of Alabama - If You Don't Pray For Me [TRAXOHK128F42514BE] [deezer-1717486].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/5 Blind Boys Of Alabama - If You Don't Pray For Me [TRAXOHK128F42514BE] [deezer-1717486].npz,TRAXOHK128F42514BE,1717486,22050,29.0,0,9,0.02227683,False,782
50 Cent - Outta Control (Remix) [TRAZQJC128F9353DA3] [deezer-145429548].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/50 Cent - Outta Control (Remix) [TRAZQJC128F9353DA3] [deezer-145429548].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/50 Cent - Outta Control (Remix) [TRAZQJC128F9353DA3] [deezer-145429548].npz,TRAZQJC128F9353DA3,145429548,22050,29.0,0,5,0.011076779,False,605
50 Cent - U Not Like Me [TRBCNWM128F92D50EC] [deezer-1141681].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/50 Cent - U Not Like Me [TRBCNWM128F92D50EC] [deezer-1141681].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/50 Cent - U Not Like Me [TRBCNWM128F92D50EC] [deezer-1141681].npz,TRBCNWM128F92D50EC,1141681,22050,29.0,0,5,0.024243647,False,605
5th Ward Boyz - Studio Gangster [TRAYHQD128F930F4F2] [deezer-3358206101].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/5th Ward Boyz - Studio Gangster [TRAYHQD128F930F4F2] [deezer-3358206101].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/5th Ward Boyz - Studio Gangster [TRAYHQD128F930F4F2] [deezer-3358206101].npz,TRAYHQD128F930F4F2,3358206101,22050,29.0,0,5,0.0054807654,False,605
