Song,Genre,Cluster,Confidence,PCA1,PCA2,z1,z2,z3
20_20 - It Goes On,power pop,3,0.5310354,0.13229296,0.06523255,0.2497713,0.03559746,-0.24559957
20_20 - So Many Reasons,power pop,0,0.77704775,-1.4518778,0.9889517,1.3141165,-0.8244295,-0.2132037
22-20s - Hold On,blues-rock,16,1.0,0.0015485585,-1.3451729,-0.38024938,1.071657,-2.8949275
2Fresh - Get It Started,boogaloo,0,0.7767292,-1.5752145,1.1987858,1.4470992,-0.8163433,-0.23820302
2Pac - 2 Of Amerikaz Most Wanted,glam metal,0,0.77705914,-1.5210174,1.1013254,1.3860185,-0.83486223,-0.21634062
2raumwohnung - 36Grad (Paul van Dyk's Vandit Clubmix),tech house,3,0.53104675,0.13472073,0.057549663,0.2460166,0.04200682,-0.2542222
2raumwohnung - Ja (Hanno's Poppersmonstermix),tech house,3,0.53104925,0.10901183,0.085581675,0.26407182,0.034793094,-0.24133553
2raumwohnung - Lachen und weinen,tech house,3,0.53098464,-0.20173748,0.2798417,0.47300366,-0.1362372,-0.23298076
2raumwohnung - Mädchen mit Plan,tech house,3,0.5310413,0.12697539,0.0797942,0.26077932,0.04535024,-0.24328634
2XL - Kissing Game,pop rap,0,0.7767641,-1.5915573,1.1795758,1.4606566,-0.85359716,-0.22129878
3 Doors Down - Be Like That,post-grunge,3,0.53103155,0.11318228,0.05952029,0.2464539,0.013991967,-0.24828671
3 Doors Down - Better Life,post-grunge,29,0.9979583,-0.64597404,-1.1258596,-0.47647703,-1.5583942,-0.24236344
3 Doors Down - Duck And Run,post-grunge,29,0.9980096,-0.638989,-1.133472,-0.4829399,-1.5575658,-0.24205863
3 Doors Down - Here Without You,post-grunge,3,0.5310224,0.15184346,0.043429494,0.23114634,0.043178543,-0.24164326
3 Doors Down - It's Not Me,post-grunge,3,0.531037,0.13485634,0.06261301,0.24292482,0.039688274,-0.24355343
3 Doors Down - Sarah Yellin',post-grunge,29,0.9980872,-0.6431955,-1.1403568,-0.48787597,-1.5700223,-0.24004646
3 Doors Down - Who Are You (Album Version),post-grunge,29,0.9978193,-0.67108464,-1.1056384,-0.45007077,-1.5641735,-0.24623752
3 Of Hearts - Is It Love,electro,3,0.5310487,0.12287754,0.0626391,0.24992903,0.036311924,-0.24271688
3 Steps Ahead - My Mind Is Gone (Interlude),gabba,0,0.7771155,-1.5002614,1.0106035,1.358698,-0.84231555,-0.23524645
3 Way Funk - Real Playaz,hyphy,0,0.7771341,-1.5343155,1.0561457,1.3742254,-0.83934724,-0.24045195
32 Leaves - Way Beyond,modern rock,29,0.99786973,-0.6391717,-1.1199105,-0.4757937,-1.5452719,-0.24266873
40 Grit - A Part Of Me,nu metal,3,0.53011197,0.03350447,-0.29653797,0.0013898909,-0.30740285,-0.25643227
40 Grit - Intro,nu metal,14,0.65497226,2.3069947,-0.35171956,-0.85362715,0.65602624,-0.016800769
45 Grave - Party Time,deathrock,14,0.65259796,2.1327393,-0.33863452,-0.7901624,0.6023049,-0.034989275
4Him - A Strange Way To Save The World,ccm,13,1.0,-1.0636275,0.87617946,1.9928205,-1.4855137,0.50032455
4Him - Freedom,ccm,13,1.0,-1.1315087,0.878379,2.0212612,-1.576407,0.5165144
4Him - He Never Changes,ccm,13,1.0,-1.0952914,0.8610955,1.995763,-1.5417292,0.5002568
4Him - Wings,ccm,13,1.0,-1.1776392,0.9063559,2.050342,-1.6165205,0.5171606
4Him - You Are Holy,ccm,13,1.0,-1.071201,0.8701631,1.9828122,-1.4976153,0.49621332
5 Blind Boys Of Alabama - If You Don't Pray For Me,soul blues,3,0.53103423,0.1379258,0.05532895,0.24396145,0.040104017,-0.24349359
50 Cent - Outta Control (Remix),gangster rap,0,0.77711064,-1.5262511,1.0734656,1.3892885,-0.83378863,-0.23134731
50 Cent - U Not Like Me,gangster rap,0,0.7771377,-1.527701,1.0511801,1.3784347,-0.8462942,-0.22937554
5th Ward Boyz - Studio Gangster,hip hop,2,1.0,-0.41285834,2.6094127,2.2041366,-0.32972777,-1.5528618
5th Ward Boyz - Undercover Gangstas,hip hop,2,1.0,-0.4668115,2.6782877,2.2577703,-0.35365394,-1.5557225
6CycleMind - Across the Universe,pinoy rock,3,0.5310404,0.12941682,0.06520176,0.24395342,0.03374712,-0.24858868
6CycleMind - Talkin' Bout A Revolution,pinoy rock,3,0.53103286,0.18650284,0.040501602,0.22240677,0.07976801,-0.24710226
8Ball - I Don't Give A F___,southern rock,0,0.77711,-1.4823706,1.0387576,1.3288871,-0.8257407,-0.21160156
99 Posse - Rafaniello (Versione Strumentale),reggae,3,0.53103864,0.15163776,0.06304083,0.24146673,0.054714516,-0.24605736
9th Wonder - Saved,hip hop,2,1.0,-0.54783046,2.7196925,2.299835,-0.41033,-1.5592055
A Boogie wit da Hoodie - Timeless (feat. DJ SPINKING) (Sped Up Version),chicago house,3,0.5310464,0.06019914,0.12502341,0.30978963,0.0063634813,-0.24206877
A Challenge Of Honour - Heiliges Feuer,jungle music,14,0.65572083,2.3929355,-0.3868276,-0.91552293,0.6627352,-0.004911582
A Different Breed Of Killer - The Cleansing Apparatus,death core,29,0.9976236,-0.6606544,-1.0899522,-0.43842018,-1.541923,-0.24582356
A Skylit Drive - Ability To Create A War,progressive metal,3,0.53100973,0.18354103,0.020863712,0.20940112,0.061064154,-0.23784247
A Static Lullaby - God Bless You (Goddamn it) (Album Version),post-hardcore,29,0.9980731,-0.6646452,-1.1350088,-0.47951487,-1.5825546,-0.23799485
A Static Lullaby - Toxic,post-hardcore,29,0.9979663,-0.68018794,-1.1224738,-0.4582645,-1.587229,-0.2437847
A Tribe Called Quest - Get A Hold,jazz rap,3,0.5310329,0.17532557,0.037121475,0.21236265,0.06464287,-0.24628401
A Tribe Called Quest - Like It Like That,jazz rap,3,0.5310695,0.14191094,0.054085113,0.2419721,0.056306407,-0.24430367
"A Tribe Called Quest - Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) (LP Mix)",jazz rap,3,0.53104866,0.122565314,0.06448844,0.25036776,0.03709835,-0.24667105
A Tundra - The Doug McComb Over,beat,3,0.53102463,0.10331577,0.20719193,0.33161864,0.029686704,-0.22807935
A'Studio - SOS,progressive house,0,0.77705103,-1.5491517,1.1024168,1.3970087,-0.84963274,-0.21695769
A.R. Rahman - Rang De Basanti,bhangra,3,0.53103155,0.122240335,0.068038255,0.25241706,0.03113009,-0.24125624
Aaron Neville - For the Good Times,post-grunge,3,0.5310283,0.14796598,0.054704912,0.23269285,0.043964952,-0.24081665
Aaron Watson - Rollercoaster Ride (Live),honky tonk,3,0.53101784,0.1561796,0.049741507,0.23589727,0.04122232,-0.24514228
Aaron Watson - Sweet Contradiction,honky tonk,3,0.53102326,0.15189892,0.048707023,0.2345297,0.042194903,-0.24098366
Aaron Watson - That's What I Like About A Country Song (That's What I Like About A Country Song),honky tonk,3,0.53103244,0.14340653,0.058591053,0.24118456,0.042507917,-0.24294728
Aaron Watson - Whiskey On The Fire,honky tonk,3,0.531025,0.13870831,0.053986266,0.24553028,0.034775004,-0.24495973
Abbott & Chambers - Never After,progressive trance,3,0.53104395,0.13950989,0.049540445,0.23153965,0.04149984,-0.24301499
Abbott & Chambers - Where Are You,progressive trance,0,0.7771014,-1.4729339,1.0278939,1.3443799,-0.8173618,-0.22511508
Aberdeen - Beyond the Light,twee pop,0,0.77696204,-1.484761,1.1184815,1.3681837,-0.7978273,-0.21917456
Abijah - Children Of Love,roots reggae,0,0.77701837,-1.4430842,0.9778635,1.2884172,-0.8125088,-0.21895416
Abominable Iron Sloth - Sailing To The Edge Of The Earth,math rock,29,0.99784744,-0.61451626,-1.1222023,-0.48326814,-1.5271986,-0.24146146
Abracadabra - Otra vez,hard trance,0,0.7771285,-1.4982378,1.029984,1.3455262,-0.83603406,-0.21995208
Abracadabra - Te estoy saboreando,hard trance,0,0.777133,-1.5078194,1.0166426,1.3424029,-0.85565287,-0.21687132
Abraham Laboriel - Exchange,jazz,0,0.7770475,-1.4528246,1.0025201,1.3306949,-0.8151839,-0.22939911
Abraham Laboriel - Guidum (Live),jazz,14,0.65499717,2.301398,-0.37986112,-0.8874217,0.65094197,0.002842823
Abrar-Ul-Haq - Hello Hello,bhangra,29,0.9968573,-0.6150949,-1.0439183,-0.41884816,-1.464755,-0.24827904
Abreu - Shame,shock rock,29,0.9912378,-0.48610237,-0.9285792,-0.36218342,-1.2479618,-0.24787587
Abysmal Dawn - Compulsory Resurrection,blackened death metal,29,0.9980336,-0.6542208,-1.1368037,-0.47896105,-1.569921,-0.24361536
Abysmal Dawn - Programmed to Consume,blackened death metal,29,0.9982332,-0.70176053,-1.1520659,-0.46550137,-1.633385,-0.24258228
Ace Frehley - Fractured Quantum,hard rock,29,0.9978156,-0.6445756,-1.1139619,-0.46880263,-1.5446925,-0.24727085
Aceyalone - Let Me Hear Sumn (feat. Casual & Big Arch),hip hop,2,1.0,-0.6199801,2.7916,2.3649302,-0.42609212,-1.5524163
Aceyalone - Suicide,hip hop,2,1.0,-0.5416153,2.7212784,2.2956023,-0.39743608,-1.5400149
Acorps de rue - Chanson Réaliste,musette,3,0.5310505,0.12345059,0.081287995,0.27141073,0.04117745,-0.2540421
Ada Jane - The Queen's Treatment,orchestra,3,0.5310206,0.19602773,0.030576937,0.2106743,0.0787162,-0.24268594
Adalberto Santiago - Tu Me Desesperas,salsa,3,0.5310217,0.15206587,0.04974562,0.23705289,0.040057436,-0.24292326
Adam Ant - Friend Or Foe,pop rock,29,0.9982767,-0.63298523,-1.1674417,-0.51309675,-1.5810157,-0.24070151
Adam Ant - Goody Two Shoes,pop rock,29,0.9982377,-0.6411089,-1.1603769,-0.49797487,-1.5846083,-0.24124135
Adam Ant - Mohair Locker Room Pin-Up Boys,pop rock,29,0.9979929,-0.6302378,-1.133966,-0.48707432,-1.5507233,-0.23845136
Adam Ant - Something Girls,pop rock,29,0.9979944,-0.64996874,-1.1283047,-0.4694387,-1.56615,-0.24497026
Adam Richman - From The Pain,power pop,3,0.53103733,0.19287592,0.04288815,0.21915996,0.07975309,-0.24659145
Adam Skorupa - The Assassin Looms,stoner metal,3,0.5310179,0.16740634,0.034217313,0.21970811,0.055228412,-0.23740268
Adolph Hofner - How I Miss You Tonight,western swing,14,0.6551272,2.32021,-0.35055763,-0.8601811,0.6510289,-0.008773565
Adolph Hofner - We Played a Game,western swing,14,0.65520513,2.3311412,-0.35479775,-0.86791575,0.6599233,-0.013505548
Adr Lavey - In The Name of the Father,gangster rap,0,0.7771109,-1.4852017,1.0505292,1.344996,-0.8160269,-0.21668056
Adrenaline - Playing The Role Of God,modern rock,29,0.9980856,-0.65530336,-1.1438513,-0.48209605,-1.5751579,-0.24663943
Adrienne Albert - The Owl and the Pussy-Cat,ballet,14,0.65522075,2.339916,-0.3806836,-0.8904412,0.68589485,-0.01817242
Aeoliah - For Your Passion My Love (solo Por Tu Passion Amor Mio),meditation,14,0.65493816,2.3022244,-0.36172128,-0.86214703,0.64922106,-0.016035274
Aeoliah - Inner Chamber,meditation,14,0.6554317,2.3579621,-0.36287266,-0.8832668,0.6619419,-0.008828849
Aeoliah - Temple Bells,meditation,14,0.65686494,2.634948,-0.41361332,-1.0021858,0.7575404,0.0041296035
Aeoliah - We Are One Light,meditation,14,0.65560126,2.388967,-0.36526287,-0.8823496,0.6944465,-0.030854985
Aerosmith - Angel,blues-rock,16,1.0,-0.055649146,-1.3443379,-0.3640349,1.0199072,-2.8992257
Aerosmith - Crazy,blues-rock,16,1.0,-0.03393768,-1.3565687,-0.38227868,1.0344772,-2.8968296
Aerosmith - Cryin',blues-rock,16,1.0,-0.0747329,-1.3399508,-0.3627987,1.0070555,-2.907419
Aerosmith - Janie's Got A Gun,blues-rock,16,1.0,-0.08384276,-1.3084142,-0.3327301,1.00474,-2.8968925
Aerosmith - Livin' On The Edge,blues-rock,16,1.0,-0.16503242,-1.2926236,-0.30314785,0.945312,-2.917465
Aerosmith - Lord Of The Thighs,blues-rock,16,1.0,-0.01761105,-1.324583,-0.36598653,1.0502185,-2.8901038
Aerosmith - Milk Cow Blues,blues-rock,16,1.0,-0.014757957,-1.352414,-0.37937242,1.0465918,-2.900576
Aerosmith - On The Road Again (Outtake - 1972),blues-rock,16,1.0,-0.030773167,-1.295657,-0.32799125,1.0600741,-2.9188833
Aerosmith - Reefer Head Woman,blues-rock,16,1.0,0.09846878,-1.320152,-0.37915936,1.1489204,-2.8638387
Aerosmith - Same Old Song And Dance,blues-rock,16,1.0,-0.13849889,-1.2992067,-0.29730064,0.9433807,-2.8935971
Aerosmith - What It Takes,blues-rock,16,1.0,-0.16078451,-1.3151817,-0.2970884,0.9241466,-2.9081774
Aesop Rock - Coma,underground rap,0,0.7769278,-1.4199207,0.9614418,1.2866849,-0.8063336,-0.2210767
Aesop Rock - Flashflood,underground rap,3,0.5310418,0.12283461,0.069858566,0.25903684,0.034650877,-0.24785177
Aesop Rock - Limelighters _ Flunkadelic Interlude,underground rap,3,0.5310389,0.13651286,0.06314602,0.248142,0.04141684,-0.24694267
Aesop Rock - N.Y. Electric _ Hunter Interlude,underground rap,3,0.53105015,0.11534993,0.071890265,0.26638266,0.031940818,-0.25252563
Aesop Rock - No City (Instrumental),underground rap,14,0.65188426,2.0974727,-0.33394885,-0.77538484,0.5936368,-0.029611941
Aesop Rock - Train Buffer,underground rap,3,0.5310759,0.098998144,0.0684117,0.2699994,0.03734605,-0.25900066
AFI - Affliction,post-hardcore,29,0.9980459,-0.64348507,-1.1429414,-0.4849539,-1.5613607,-0.2501065
"AFI - Darling, I Want To Destroy You",post-hardcore,29,0.99780077,-0.63269246,-1.1143657,-0.47226217,-1.5350981,-0.24381484
AFI - Summer Shudder,post-hardcore,29,0.9973762,-0.63467395,-1.0754131,-0.4349102,-1.5092847,-0.2490043
AFI - Too Shy To Scream,post-hardcore,29,0.9979233,-0.67077684,-1.1153183,-0.45935628,-1.5758867,-0.24148937
African Rhythm Messengers - baby Wayo,highlife,3,0.5310432,0.13084258,0.0631739,0.24829678,0.041280463,-0.2462021
Africando - Lindas Africanas,salsa,3,0.53102905,0.15316074,0.053682797,0.23640981,0.049178287,-0.24165532
Africando - Mopao,salsa,3,0.5310284,0.15396528,0.05145154,0.22921763,0.046355188,-0.24331105
Afrob - Gief Konjunkturpaket VI,pop rap,0,0.7770007,-1.577886,1.1238883,1.4399253,-0.8521587,-0.2419666
Agency 1.9.9.4 - Dayz Of Our Livez,hip hop,2,1.0,-0.52721834,2.6956987,2.2808642,-0.39409176,-1.5498033
Agency 1.9.9.4 - Everyday Struggle (Bonus),hip hop,2,1.0,-0.52645904,2.7100518,2.2881331,-0.38946655,-1.5526085
Agnes - I Need You Now,europop,29,0.9976146,-0.6812469,-1.0805228,-0.4243963,-1.5521789,-0.2394319
Agnes - Non Conformist Acclaimed (Original Mix),europop,0,0.7768526,-1.4054792,0.9503395,1.2718322,-0.7939919,-0.21961692
Agnostic Front - No One Hears You,hardcore punk,29,0.998058,-0.69546175,-1.1295948,-0.44459215,-1.6055975,-0.24813122
Agnostic Front - Rock Star,hardcore punk,29,0.9982173,-0.60143757,-1.1748736,-0.5228258,-1.5511143,-0.2440068
Agnostic Front - Separate Ways,hardcore punk,29,0.99813783,-0.61493564,-1.1581084,-0.5067566,-1.5545316,-0.244388
Agnostic Front - Standing On My Own,hardcore punk,29,0.99818546,-0.6305132,-1.1599584,-0.5083891,-1.5704315,-0.24059659
Agnostic Front - Undertow,hardcore punk,29,0.9979443,-0.6717255,-1.1216221,-0.46155018,-1.5763099,-0.2457715
Ahmad Shamlu - Chon Abr Be Nowuz Rokhe Lâleh Beshost,irish folk,14,0.6538291,2.2063296,-0.33223653,-0.81132185,0.6145935,-0.029792147
Ai Ai Ai - Com Una Flama,rumba,3,0.531045,0.1138643,0.0772367,0.26200092,0.031853512,-0.24767661
Aiden - Black Market Hell (Hidden Track),post-hardcore,3,0.5310466,0.1224767,0.07747465,0.2660172,0.03626068,-0.24976543
"Aiden - Die Romantic (Live At The Bottom Lounge, Chicago, IL _ January 13, 2009)",post-hardcore,29,0.99777204,-0.66144586,-1.1021929,-0.45220593,-1.5553348,-0.2439446
Aiden - Killing Machine,post-hardcore,29,0.99810386,-0.6277071,-1.1548835,-0.5017246,-1.5569134,-0.24640459
"Aiden - We Sleep Forever (Live At The Bottom Lounge, Chicago, IL _ January 13, 2009)",post-hardcore,29,0.99783915,-0.6643988,-1.1115732,-0.45590475,-1.5625174,-0.24798115
Airdraw - A Través del Tiempo Naranja,jungle music,3,0.53101665,0.19224733,0.021767005,0.1981365,0.0655103,-0.24035855
"Airto Moreira - Hala, Tumba And Timbal",latin jazz,0,0.77696943,-1.4348845,0.9643886,1.299161,-0.8447505,-0.22181493
Aisha Duo - Beneath an Evening Sky,jazz fusion,18,0.99743396,1.2159977,1.5537746,0.7644825,1.022681,-0.33969897
"Aisha Duo - Sea, Subsurface",jazz fusion,14,0.6555359,2.3789046,-0.36862314,-0.8879736,0.6972183,-0.021010458
Ajay-Atul - Shah Ka Rutba,desi,29,0.99755955,-0.6594436,-1.0880847,-0.43390632,-1.5348215,-0.24750501
Akon - Belly Dancer (Bananza) (Remix),hip hop,2,1.0,-0.48725486,2.684588,2.258522,-0.35987395,-1.5555286
Akon - Don't Matter,hip hop,2,1.0,-0.6742549,2.8074923,2.389958,-0.4616336,-1.5524054
Akon - Gunshot (Fiesta Riddim) (Explicit),hip hop,2,1.0,-0.6068909,2.7728791,2.3483539,-0.43378687,-1.5521934
Akon - Lonely,hip hop,2,1.0,-0.7046832,2.8379507,2.4193063,-0.47721925,-1.5527102
Akon - Over The Edge (Album Version),hip hop,2,1.0,-0.4417698,2.6254199,2.2283096,-0.34569174,-1.5446547
Akon - Right Now (Na Na Na),rap metal,29,0.99723035,-0.59813344,-1.0821356,-0.44627327,-1.4667737,-0.24825704
Al De Lory - Country Girl,salsa,14,0.6547965,2.286921,-0.34836444,-0.8454909,0.64120954,-0.018532101
Al Denson - Love Is Taking Hold,ccm,13,1.0,-1.0781813,0.8604155,1.9764386,-1.4911714,0.5045697
Al Denson - Rain Love,ccm,13,1.0,-1.1017765,0.8778445,2.0082643,-1.5253398,0.5014818
Al Denson - The Arms That Won't Let Go (The Pillow Song)_Great Is Thy Faithfulness,ccm,13,1.0,-1.0711148,0.875916,1.9918307,-1.4954588,0.502027
"Al Dexter - I'll Wait for You, Dear",honky tonk,14,0.65406954,2.2203906,-0.32935506,-0.8170096,0.61767274,-0.012445927
Al Di Meola - Bianca's Midnight Lullaby,latin jazz,14,0.65565044,2.3907726,-0.36747852,-0.90842813,0.6813859,-0.009908557
Al Di Meola - Calliope (Album Version),latin jazz,3,0.53100985,0.19306293,0.038882285,0.208798,0.07018247,-0.2371915
Al Di Meola - God Bird Change (Album Version),latin jazz,29,0.99762005,-0.6347563,-1.0898708,-0.45113018,-1.5206851,-0.24178362
Al Di Meola - Splendido Sundance,latin jazz,14,0.635098,1.7918605,-0.28481632,-0.61239463,0.4967551,-0.06949653
Al DiMeola Project - July,latin jazz,3,0.5310296,0.14357795,0.067008704,0.24696775,0.045346737,-0.24541432
Al Duvall - Dark Inside,blues-rock,16,1.0,0.035058327,-1.3285079,-0.3734121,1.0788379,-2.8609586
Al Rapone - Chere Duloone,zydeco,29,0.9978789,-0.62850106,-1.1274327,-0.47212,-1.5386622,-0.2457234
Al Toomer - Finish the Job,stand-up comedy,3,0.53104496,0.15305817,0.04179868,0.22720402,0.05759678,-0.24490285
Alain Morisod - Besame Mucho,chill-out,29,0.99669904,-0.5786351,-1.0592294,-0.43108422,-1.4335122,-0.2435245
Alain Morisod - L'Amour en Heritage,chill-out,14,0.6550143,2.3032923,-0.34037903,-0.8553307,0.6400751,0.00060017407
Alain Souchon - J'veux du cuir,chanson,22,1.0,-0.5588172,0.22098824,-0.6359165,-1.4233603,-2.919898
Alain Souchon - Le bagad de Lann Bihouë (Live),chanson,22,1.0,-0.5281281,0.19663286,-0.6719817,-1.3913436,-2.938182
Alain Turban - L'ardéchoise aux cheveux blancs,chanson,22,1.0,-0.526679,0.17260857,-0.69428957,-1.3950145,-2.9222798
Alain Turban - L'Homme au trapèze volant,chanson,22,1.0,-0.5445205,0.23705484,-0.63235307,-1.3944304,-2.9193773
Alain-François - Playa del sous-sol,french pop,0,0.7770919,-1.4762824,1.0112538,1.3475748,-0.83691734,-0.22422181
Alain-François - The Frog Song,french pop,3,0.53105843,0.1341946,0.07561768,0.26002896,0.053881288,-0.2536685
Alan Silvestri - Full House,country rock,5,1.0,1.6549158,3.057521,0.96849656,2.2375631,1.2335463
Alan Silvestri - The Joe's Mobilize,country rock,5,1.0,1.6439288,3.0455506,0.9667007,2.2286718,1.2176094
Alan Silvestri - We're Out Of Gas,country rock,5,1.0,1.5989283,3.0712616,1.0045483,2.1955671,1.2133753
Alan Silvestri - _Not Meant To Be Found_,country rock,17,0.9999976,2.944178,5.2308264,0.71194935,1.5547103,0.5316695
Alan Stivell - An Emglew [Le Pacte],flamenco,14,0.654299,2.2392378,-0.34588596,-0.8269816,0.6271078,-0.023010725
Alanis Morissette - Thank You,hard rock,3,0.53103167,0.14237267,0.04682099,0.23303886,0.040505186,-0.24251448
Alas - Silencio De Aguas Profundas,symphonic metal,14,0.65531856,2.3490407,-0.37048984,-0.8798275,0.690046,-0.009694889
Albert Ayler - Ghosts_ Second Variation,free jazz,21,0.9999999,-2.2479107,-0.23617226,0.65603703,-2.452551,-0.13859783
Albert Ayler - Music Is The Healing Force Of The Universe,free jazz,29,0.9979639,-0.6607959,-1.1222308,-0.4725602,-1.5697539,-0.2418597
Albert Collins - Same Old Thing,texas blues,3,0.53104836,0.14983313,0.05281549,0.23621309,0.056607023,-0.2483372
Albert King - I'm Gonna Move To The Outskirts Of Town (Live),electric blues,3,0.53101915,0.15447304,0.048865855,0.23619421,0.04976376,-0.23510957
Albert King - Please Come Back To Me - Live,electric blues,3,0.5310263,0.15024762,0.046474144,0.23595512,0.05035717,-0.23442729
Albert King - Watermelon Man (Live),electric blues,29,0.9977209,-0.6637751,-1.1026323,-0.4496854,-1.5511229,-0.24977292
Albert Préjean - Dédé De Montmartre,chanson,6,1.0,2.4974701,-0.100013465,-2.0253053,-0.33218205,-2.8070042
Albert Préjean - Une java,chanson,22,1.0,-0.41777053,0.09171419,-0.7941917,-1.3467381,-2.9049685
Alberto Cortez - Distancia (En Vivo),chanson,22,1.0,-0.4018467,0.1696599,-0.7491649,-1.2952249,-2.8993602
Alberto Cortez - Guitarra dímelo tú,chanson,6,1.0,2.4794965,-0.120643556,-2.0375283,-0.3458801,-2.7943687
Albin Myers - BOOM!!! (Boomapella),progressive house,25,1.0,-3.4442835,3.9795496,3.1486206,-1.1727087,-0.70761317
Albin Myers - Times Like These (EDX's Indian Summer Remix),progressive house,0,0.7748282,-1.7481309,1.3920227,1.6018363,-0.8805871,-0.24407955
Alceu Valença - Cintura Fina,brazilian pop music,3,0.53086627,-0.26564258,0.30620003,0.52814513,-0.17705853,-0.23352805
Alceu Valença - Na Primeira Manhã,brazilian pop music,3,0.5310434,0.15931971,0.047574855,0.23244263,0.059706867,-0.24996182
Alceu Valença - Sete Desejos,brazilian pop music,21,1.0,-2.404003,-0.12857088,0.77585125,-2.5205498,-0.15711291
Ale Möller - Sandpolskan,neofolk,3,0.5310105,0.17406872,0.020554364,0.21546714,0.054245085,-0.23483813
Alejandro Lerner - Campeones De La Vida,pop rock,3,0.5310206,0.1612183,0.032527126,0.21836269,0.044816837,-0.238954
Alejandro Lerner - Canta Una Canción De Amor (Remastered Version),pop rock,29,0.9974476,-0.62214994,-1.0908583,-0.46006495,-1.4960296,-0.25091165
Alejandro Lerner - Nena Neurótica (En Vivo),pop rock,21,1.0,-2.3389606,-0.066758096,0.7764826,-2.391768,-0.17070022
Alejandro Lerner - No Hace Falta Que Lo Digas (Remastered Version),pop rock,3,0.5310405,0.08982682,0.096266285,0.27008945,0.017838672,-0.2391309
Alejandro Lerner - No Me Acuerdo,pop rock,0,0.77692187,-1.4148557,0.9412922,1.2693965,-0.8127903,-0.20711344
Alejandro Lerner - Todo a Pulmón (En Vivo),pop rock,3,0.5310428,0.16131885,0.13655701,0.2703261,0.07110575,-0.23283577
Aleks Syntek - In My Arms (Live Auditorio Nacional 08),merengue,21,1.0,-2.552783,-0.29102483,0.7148384,-2.7785378,-0.14459896
"Aleks Syntek - Sexo, Pudor Y Lágrimas (Drum & Bass Mix)",merengue,29,0.99792707,-0.6244875,-1.1329964,-0.4792342,-1.529546,-0.25315344
Alex - Cumpagno 'e cella,new beat,3,0.5310413,0.11653225,0.06845104,0.2558084,0.028284773,-0.24300307
Alex Fong - Hao Lai Hao Qu,cantonese pop,3,0.5310638,0.1469347,0.0540557,0.2402191,0.059756264,-0.256877
Alex Gopher - Aurora (Rory's Cassette Jam Remix),deep house,3,0.5310422,0.16576639,0.04770249,0.22650379,0.06204638,-0.25071663
Alex Gopher - Keep on dancin' (Last man standin'),deep house,3,0.53104573,0.1334308,0.08639438,0.26012984,0.048120365,-0.24137019
Alex Theory - Lotus Kiss,dub,3,0.5310036,0.19389081,0.0067946315,0.1936611,0.058904707,-0.23717104
Alex Ubago - 20 horas de nada,latin pop,3,0.5310477,0.12389326,0.06395438,0.2544394,0.032983422,-0.2486741
Alex Ubago - Ciudad desierta,latin pop,29,0.9979444,-0.6702136,-1.1220205,-0.46570897,-1.5706469,-0.24771866
Alex Ubago - Temblando,latin pop,3,0.53100675,0.19202238,0.026944704,0.2109003,0.06351226,-0.2395395
