Song,Genre,Cluster,Confidence,LogLikelihood,PCA1,PCA2
Abraham Laboriel - Guidum (Live),jazz,3,1.0,153.28218,-1.1268164,-0.9873279
Abrar Ul Haq - Hello Hello,bhangra,0,1.0,145.56677,2.4521894,0.022509046
Abreu - Shame,shock rock,3,1.0,158.80289,-1.010185,1.0908484
Abysmal Dawn - Compulsory Resurrection,blackened death metal,3,1.0,162.4682,0.080618165,2.6189637
Abysmal Dawn - Programmed to Consume,blackened death metal,3,1.0,168.25186,0.057192855,3.2599134
Ace Frehley - Fractured Quantum,hard rock,3,1.0,158.77388,-0.69449186,0.9653603
Aceyalone - Suicide,hip hop,0,1.0,149.18185,3.7002585,-0.7603496
Acorps de rue - Chanson Réaliste,musette,3,1.0,161.75082,1.1676216,-0.67643297
Ada Jane - The Queen's Treatment,orchestra,3,1.0,166.92264,-1.7730007,-0.9126373
Adalberto Santiago - Tu Me Desesperas,salsa,3,1.0,159.44916,1.097284,0.06501598
Adam Ant - Friend Or Foe,pop rock,4,0.9999543,152.42949,-0.3297338,1.6185459
Adam Ant - Goody Two Shoes,pop rock,4,0.99949664,150.92445,-0.1555062,1.1543175
Adam Ant - Mohair Locker Room Pin-Up Boys,pop rock,4,0.9848119,150.41286,-0.65435916,0.9715451
Adam Ant - Something Girls,pop rock,4,0.9965727,151.66919,-0.8257453,1.0237819
Adam Richman - From The Pain,power pop,3,0.99998474,151.44469,-1.1608626,-0.96086884
Adolph Hofner - How I Miss You Tonight,western swing,3,1.0,161.8815,-3.086518,-1.6904055
Adolph Hofner - We Played a Game,western swing,3,1.0,159.05748,-3.1344068,-1.6715392
Adr Lavey - In The Name of the Father,gangster rap,3,0.9752415,137.28621,4.178782,-0.30567238
Adrenaline - Playing The Role Of God,modern rock,3,1.0,166.37556,-0.41517764,2.3322628
Adrienne Albert - The Owl and the Pussy-Cat,ballet,3,1.0,163.10056,-1.8493032,-1.9344639
Aeoliah - For Your Passion My Love (solo Por Tu Passion Amor Mio),meditation,3,1.0,161.35695,-2.0996604,-1.4205772
Aeoliah - Inner Chamber,meditation,3,1.0,155.21594,-4.0626764,-1.0241541
Aeoliah - Temple Bells,meditation,3,1.0,146.80542,-5.0564265,-0.796312
Aeoliah - We Are One Light,meditation,3,1.0,139.10919,-6.0535703,-1.5888691
Aerosmith - Angel,blues-rock,4,1.0,149.85333,-0.84840196,1.9079416
Aerosmith - Crazy,blues-rock,1,1.0,147.82283,-0.58561116,2.3943644
Aerosmith - Cryin',blues-rock,4,1.0,140.2774,-0.3686211,2.2883763
Aerosmith - Janie's Got A Gun,blues-rock,1,1.0,151.2735,0.78081685,1.1232287
Aerosmith - Livin' On The Edge,blues-rock,4,1.0,143.51175,0.05167595,2.5701013
Aerosmith - Lord Of The Thighs,blues-rock,4,1.0,151.62402,0.16155592,0.08405148
Aerosmith - Milk Cow Blues,blues-rock,4,1.0,152.09918,-1.0387475,1.1868328
Aerosmith - On The Road Again (Outtake - 1972),blues-rock,4,1.0,139.96324,1.2124528,-0.72520655
Aerosmith - Reefer Head Woman,blues-rock,4,1.0,142.1501,0.14328243,-1.4924604
Aerosmith - Same Old Song and Dance,blues-rock,4,1.0,147.6224,1.3656789,0.16144125
Aerosmith - What It Takes,blues-rock,4,1.0,148.50491,0.8380436,2.167435
Aesop Rock - Coma,underground rap,3,1.0,144.92934,3.072174,-1.8444338
Aesop Rock - Flashflood,underground rap,3,1.0,155.83087,2.3232832,-0.75224394
Aesop Rock - Limelighters _ Flunkadelic Interlude,underground rap,3,1.0,163.05457,1.4230096,-1.363828
Aesop Rock - N.Y. Electric _ Hunter Interlude,underground rap,3,1.0,160.85606,1.4212947,-0.79024047
Aesop Rock - No City (Instrumental),underground rap,3,1.0,153.0133,-0.4480847,-1.8462505
Aesop Rock - Train Buffer,underground rap,3,0.9999695,143.62186,0.2913757,-0.74877363
AFI - Affliction,post-hardcore,3,1.0,167.27298,-0.2901625,2.4509387
"AFI - Darling, I Want To Destroy You",post-hardcore,3,1.0,164.44379,0.27654734,2.2147245
AFI - Summer Shudder,post-hardcore,3,1.0,166.2929,0.7498682,1.478143
AFI - Too Shy To Scream,post-hardcore,3,1.0,170.2598,0.42615575,1.9489251
African Rhythm Messengers - baby Wayo,highlife,3,1.0,163.72113,1.0579194,-0.38046896
Africando - Lindas Africanas,salsa,3,1.0,152.73904,1.7573274,-1.1333411
Africando - Mopao,salsa,3,1.0,162.37398,2.0973766,-1.1396618
Afrob - Gief Konjunkturpaket VI,pop rap,3,1.0,154.10713,3.677543,0.16345713
Agency 1.9.9.4 - Dayz Of Our Livez,hip hop,0,1.0,143.62547,2.133205,0.46465036
Agency 1.9.9.4 - Everyday Struggle (Bonus),hip hop,0,1.0,146.43694,2.7700772,-1.2833697
Agnes - I Need You Now,europop,3,1.0,169.98793,0.44357073,1.4219918
Agnes - Non Conformist Acclaimed (Original Mix),europop,0,1.0,149.206,5.061725,-3.4832523
Agnostic Front - No One Hears You,hardcore punk,3,1.0,153.50064,0.6671125,2.3955128
Agnostic Front - Rock Star,hardcore punk,3,1.0,164.33241,-1.1579932,1.6959305
Agnostic Front - Separate Ways,hardcore punk,3,1.0,165.82654,-1.0809063,1.8726362
Agnostic Front - Sickness,hardcore punk,3,1.0,167.03357,-1.3974777,2.2232077
Agnostic Front - Standing On My Own,hardcore punk,3,1.0,167.03116,-0.8655553,3.0932956
Agnostic Front - Undertow,hardcore punk,3,1.0,162.80132,0.43429637,1.8623123
Ahmad Shamlu - Chon Abr Be Nowuz Rokhe Lâleh Beshost,irish folk,3,1.0,161.73999,-3.0077102,0.11666699
Ai Ai Ai - Com Una Flama,rumba,3,1.0,157.71823,0.87712085,-0.8785783
Aiden - Black Market Hell (Hidden Track),post-hardcore,3,1.0,154.86728,-0.39858508,-0.2201904
"Aiden - Die Romantic (Live At The Bottom Lounge, Chicago, IL _ January 13, 2009)",post-hardcore,3,1.0,164.37221,-0.3568969,1.9629306
Aiden - Killing Machine,post-hardcore,3,1.0,165.33926,-0.32597053,2.719459
"Aiden - We Sleep Forever (Live At The Bottom Lounge, Chicago, IL _ January 13, 2009)",post-hardcore,3,1.0,165.14465,-0.03987156,2.3556466
Airdraw - A Través del Tiempo Naranja,jungle music,3,0.99785084,151.4146,1.9185269,-1.8143457
"Airto Moreira - Hala, Tumba And Timbal",latin jazz,1,1.0,107.80127,4.1997414,-0.5175536
Aisha Duo - Beneath an Evening Sky,jazz fusion,2,0.9995271,123.467026,-3.6935613,-2.5051854
"Aisha Duo - Sea, Subsurface",jazz fusion,3,1.0,139.03133,-4.473777,-1.7292418
Ajay-Atul - Shah Ka Rutba,desi,3,1.0,158.00032,0.6537998,0.7597574
Akon - Belly Dancer (Bananza) (Remix),hip hop,0,1.0,143.9963,1.6333114,-0.45781654
Akon - Don't Matter,hip hop,0,1.0,141.60556,3.1828709,-0.20079695
Akon - Gunshot (Fiesta Riddim) (Explicit),hip hop,0,1.0,147.44455,3.660433,-0.8420025
Akon - Lonely,hip hop,0,1.0,142.92642,2.3423905,-0.47629607
Akon - Over The Edge (Album Version),hip hop,0,1.0,144.39505,-0.33098206,1.9819238
Al De Lory - Country Girl,salsa,3,1.0,166.0021,-3.3003879,-0.34102893
Al Denson - Love Is Taking Hold,ccm,4,1.0,154.52687,-1.0191299,1.6212623
Al Denson - Rain Love,ccm,4,1.0,143.46866,0.12583943,1.6365678
Al Denson - The Arms That Won't Let Go (The Pillow Song)_Great Is Thy Faithfulness,ccm,1,1.0,151.15305,-0.41444737,1.0127327
"Al Dexter - I'll Wait for You, Dear",honky tonk,3,1.0,155.13287,-3.2544,-1.452467
Al Di Meola - Bianca's Midnight Lullaby,latin jazz,4,1.0,133.58937,-1.9770392,-1.6023616
Al Di Meola - Calliope (Album Version),latin jazz,4,1.0,142.90408,-0.24966548,-0.8957433
Al Di Meola - God Bird Change (Album Version),latin jazz,1,1.0,145.13376,0.85532886,0.49185264
Al Di Meola - Splendido Sundance,latin jazz,4,1.0,145.43958,-1.244549,-0.07605815
Al DiMeola Project - July,latin jazz,4,1.0,138.3504,1.3080914,-0.26140302
Al Duvall - Dark Inside,blues-rock,1,1.0,139.48946,-0.1731033,-0.8181297
Al Rapone - Chere Duloone,zydeco,3,1.0,160.72885,-0.54572237,1.1869273
Al Toomer - Finish the Job,stand-up comedy,3,1.0,166.85867,-0.4251384,-1.2525198
Alain Morisod - Besame Mucho,chill-out,3,1.0,156.37114,-0.6088893,0.4493559
Alain Morisod - L'Amour en Heritage,chill-out,3,1.0,150.41753,-3.601684,-0.3307666
Alain Souchon - J'veux du cuir,chanson,1,1.0,148.88876,2.0944836,-0.6639792
Alain Souchon - Le bagad de Lann Bihouë (Live),chanson,4,1.0,143.46304,0.14536841,0.7359121
Alain Turban - L'ardéchoise aux cheveux blancs,chanson,4,1.0,149.22485,-0.36938614,0.6834053
Alain Turban - L'Homme au trapèze volant,chanson,4,1.0,143.279,0.38602528,0.35335582
Alain-François - Playa del sous-sol,french pop,3,1.0,156.30981,1.9551697,0.55020654
Alain-François - The Frog Song,french pop,3,1.0,162.78061,-0.006051617,1.3696656
Alan Silvestri - Full House,country rock,4,1.0,125.60933,-4.1824536,-0.59288406
Alan Silvestri - The Joe's Mobilize,country rock,4,1.0,147.2664,-3.2330945,0.64028674
Alan Silvestri - We're Out Of Gas,country rock,2,1.0,122.42098,-2.7711117,-0.67339087
Alan Silvestri - _Not Meant To Be Found_,country rock,2,1.0,117.37045,0.92072815,-1.7713834
Alanis Morissette - Thank You,hard rock,3,1.0,160.17018,-1.1092392,-1.3157383
Alas - Silencio De Aguas Profundas,symphonic metal,3,1.0,146.63914,-4.844957,-1.2949266
Alban Berg - Berg_ Wozzeck_ Orchestral Introduction - Geh einmal vor dich hin (Act One),big beat,3,0.9514661,120.330124,-3.2774732,-0.8471109
"Alban Berg - Berg_ Wozzeck_ Was erleb' ich, Wozzeck_ Ein Mann ein Wort_ (Act One)",big beat,3,1.0,134.52187,-2.360377,0.6751445
Albert Ayler - Ghosts_ Second Variation,free jazz,3,1.0,147.33377,-0.037067916,1.1627214
Albert Ayler - Music Is the Healing Force of the Universe,free jazz,3,1.0,159.443,-1.3514811,-0.35311124
Albert Collins - Same Old Thing,texas blues,3,1.0,165.07013,0.31047162,-0.8903515
Albert King - I'm Gonna Move To The Outskirts Of Town (Live),electric blues,3,1.0,154.71552,-0.44510376,-0.41168904
Albert King - Please Come Back To Me - Live,electric blues,3,0.99998474,138.5235,-0.61027306,-0.29408243
Albert King - Watermelon Man (Live),electric blues,3,1.0,160.90012,-0.5361913,1.4346642
Albert Préjean - Dede De Montmartre,chanson,4,1.0,134.64563,-2.7490032,-0.57407945
Albert Préjean - Une java,chanson,4,1.0,139.06027,-0.7733997,0.09745644
Alberto Cortez - Distancia (En Vivo),chanson,4,1.0,132.77066,-1.2013948,-0.30576038
Alberto Cortez - Guitarra dímelo tú,chanson,4,1.0,149.6355,-2.0730152,-0.07912572
Albin Myers - BOOM!!! (Boomapella),progressive house,0,0.99887145,87.74869,5.504555,-0.22099243
Albin Myers - Times Like These (EDX's Indian Summer Remix),progressive house,0,1.0,131.73434,7.428918,0.010522646
Alceu Valença - Cintura Fina,brazilian pop music,3,0.99975586,146.89311,2.7679005,-0.68509454
Alceu Valença - Na Primeira Manhã,brazilian pop music,3,1.0,170.3281,0.102388225,-0.8426567
Alceu Valença - Sete Desejos,brazilian pop music,3,1.0,161.96979,1.5421195,0.6981226
Ale Möller - Sandpolskan,neofolk,3,1.0,159.61555,-1.7946638,0.30931824
Alejandro Lerner - Campeones De La Vida,pop rock,0,1.0,145.71698,-0.49701613,0.16782987
Alejandro Lerner - Canta Una Canción De Amor (Remastered Version),pop rock,4,0.9904632,146.58763,-1.1558468,1.1127193
Alejandro Lerner - Nena Neurótica (Remastered Live Version),pop rock,4,0.9572399,143.41556,-0.555897,0.47345197
Alejandro Lerner - No Hace Falta Que Lo Digas (Remastered Version),pop rock,4,0.5974736,143.70619,-0.51721793,1.2694567
Alejandro Lerner - No Me Acuerdo,pop rock,0,0.8670537,150.19432,1.8529202,0.010648818
Alejandro Lerner - Todo a Pulmón (En Vivo),pop rock,0,0.9998779,130.11655,-2.240063,-0.67819065
Aleks Syntek - In My Arms (Live Auditorio Nacional 08),merengue,3,1.0,163.62463,0.5911968,3.1797924
"Aleks Syntek - Sexo, Pudor Y Lágrimas (Drum & Bass Mix)",merengue,3,1.0,169.19904,1.1359739,0.29718933
Alela Diane - Of Love,soundtrack,0,0.9998474,144.78278,-2.8756812,-1.420443
Alex - Cumpagno 'e cella,new beat,3,1.0,165.14801,0.9148614,-0.70116997
Alex Fong - Hao Lai Hao Qu,cantonese pop,3,1.0,156.22963,1.303114,-0.5734166
Alex Gopher - Aurora (Rory's Cassette Jam Remix),deep house,3,0.99992365,143.49571,2.12762,0.18832229
Alex Gopher - Keep on dancin' (Last man standin'),deep house,3,0.6073827,145.00372,4.247647,-2.617158
Alex Gopher - Song For Paul,deep house,3,1.0,157.65366,-0.51597244,-1.518089
Alex Theory - Lotus Kiss,dub,3,1.0,155.35641,-0.90644187,-0.38763392
Alex Ubago - 20 horas de nada,latin pop,3,1.0,162.0358,-0.09804538,0.793665
Alex Ubago - Ciudad desierta,latin pop,3,1.0,166.84483,-0.23711197,2.663858
Alex Ubago - Temblando,latin pop,3,1.0,158.13567,-1.7818685,-0.35191745
Alexander O'Neal - Unbreak My Heart,dance pop,2,1.0,123.17888,-0.29169703,-0.23376584
Alexander O’neal - When a Man Loves a Woman,dance pop,4,1.0,152.34494,0.6392394,-0.06825423
Alexander Zonjic - Little Sunflower,jazz funk,3,1.0,160.27158,-0.50859463,-0.35350275
Alexandre Desplat - Breaking In,soundtrack,3,1.0,154.35239,-4.037661,-0.47420064
Alexandre Desplat - Hidden Documents,soundtrack,3,1.0,145.38339,-3.903474,-2.7982852
Alexandre Desplat - High-Speed French Train,soundtrack,3,1.0,162.29602,-2.4527836,-1.9875714
Alexandre Desplat - Le Chagrin De Coco,soundtrack,2,0.9997024,126.12406,-3.642506,-0.5550029
Alexandre Desplat - Meeting Daisy (Album Version),soundtrack,3,1.0,140.16176,-4.9331083,-0.24723582
Alexandre Desplat - Palmer enquête,soundtrack,0,1.0,134.02106,-0.355188,-2.0210881
Alexandre Desplat - The Epi-Pen,soundtrack,3,1.0,163.9744,-2.51002,-0.26802328
Alexis HK - Diable attend,chanson,1,1.0,147.39102,0.81051594,-0.57591105
Alexis HK - Juste une fois,chanson,4,1.0,129.05803,-0.8984002,-2.5116138
Alexis HK - La paix des étoiles,chanson,1,1.0,150.72469,-0.13539237,-0.9940054
Alexis HK - Maudits anglois,chanson,1,1.0,155.83365,0.5581272,-0.32528982
Alexisonfire - Mailbox Arson,post-hardcore,3,1.0,170.81491,-0.48249537,2.1709242
Alfredo Gutierrez - Dos Mujeres,louisiana blues,3,1.0,158.11386,2.301404,-0.7722343
Alfredo Gutierrez - El Niño De La Calle,louisiana blues,3,0.98782194,143.31023,1.972878,-1.8389554
Alfredo Gutierrez - El Troyano,louisiana blues,0,1.0,127.69821,4.7817807,-1.6575893
Alfredo Gutierrez - Linda Mariposa,louisiana blues,3,1.0,149.46588,2.0609045,-1.5823632
Alfredo Kraus - La Alegria del Batallón (Guajira),opera,3,1.0,139.84956,-3.1689606,-1.6736512
Alfredo Kraus - Los de Aragón_ los de Aragón (Remastered Version 2017),opera,3,1.0,144.19214,-0.55558413,0.005572056
Ali Ekber Cicek - Dünya Malına Güvenme,crunk,3,1.0,161.68837,-1.3717397,-0.30180472
Alias - After All The Love Is Gone,bass music,3,1.0,167.35867,-0.85050297,1.873857
Alias - Standing In The Darkness,bass music,3,1.0,165.5484,-0.42637044,1.2509304
Alias - What To Do,bass music,3,1.0,166.21335,-1.2196046,1.1552811
Alice Cooper - Be My Lover,shock rock,3,1.0,164.5049,-1.1600964,0.7033957
Alice Cooper - Goin' To the River (Live),shock rock,3,1.0,167.88803,-1.9886063,0.8669815
Alice Cooper - This House Is Haunted,shock rock,3,1.0,163.30315,-2.24026,-0.08620082
Alice In Chains - Angry Chair (2022 Remaster),grunge,3,1.0,171.58661,-0.23232594,1.2127917
"Alice In Chains - Brother (Live at the Majestic Theatre, Brooklyn, NY - April 1996)",grunge,3,1.0,163.11761,-1.2019761,0.18028583
Alice In Chains - God Smack (2022 Remaster),grunge,3,1.0,175.00696,-0.5841396,2.043293
Alice In Chains - I Know Somethin (Bout You),grunge,3,1.0,173.69014,-0.13101092,1.3117408
Alice In Chains - Lesson Learned,grunge,3,1.0,169.6943,-0.88738173,2.408629
Alice In Chains - Sickman (2022 Remaster),grunge,3,1.0,165.9408,-0.39153773,1.6571456
Alice In Chains - Take Her Out,grunge,3,1.0,168.00934,-0.6081445,0.8887621
Alice In Chains - Would_ (2022 Remaster),grunge,3,1.0,172.9211,-0.64031184,0.8346259
Alice Stuart - Bad Girl,electric blues,2,0.972255,134.91846,-2.3119957,-1.1348977
Alice Stuart - Kassie Jones,electric blues,3,1.0,163.24103,-1.669731,-0.38865277
Alice Stuart - Woman Blue,electric blues,3,1.0,160.4304,-2.9350517,-1.2191979
Alicia Keys - Heartburn,neo soul,3,0.999939,158.5759,2.8847482,-1.6504973
Alicia Keys - If I Ain't Got You,neo soul,3,1.0,170.21979,-0.40250266,-0.52776605
"Alicia Keys - If I Was Your Woman (Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005)",neo soul,3,1.0,163.39027,-1.6296389,0.18227261
Alicia Keys - Karma,neo soul,3,1.0,165.10773,0.43396136,-0.45842484
Alicia Keys - Wait Til You See My Smile,neo soul,3,1.0,158.53531,-1.8873166,-0.06945697
All Leather - As the Hog Pisseth (Nic Sarno Gabber Mix),digital hardcore,3,1.0,153.64958,1.8746474,1.017718
"All Leather - Please Jesus, Send Me Someone To Fuck",digital hardcore,3,1.0,164.40674,-0.03413842,2.6925173
All Shall Perish - The True Beast,death core,3,1.0,166.27484,0.039680935,3.0635047
All Time Low - Shameless,pop punk,3,1.0,165.67487,0.03807715,0.79139936
All Time Low - Umbrella,pop punk,3,1.0,160.3534,1.1998938,1.0556839
Allan Taylor - The Traveller,downtempo,3,1.0,160.25705,-1.4400473,-0.77419186
Alphonse Mouzon - The Ram and the Scorpio,jazz funk,3,1.0,166.3104,-0.2826324,-0.08010426
"Alternative TV - Lemons, For Kevin",experimental rock,3,1.0,154.9068,-0.308873,0.21832155
Alternative TV - Nasty Little Lonely,experimental rock,3,1.0,163.8953,-3.0150883,-0.37552288
Alturas - Turu Wilakuy,world beat,0,1.0,58.065323,1.3639565,4.131353
Alvin Youngblood Hart - Livin' In a Strain (Album Version),blues-rock,4,1.0,148.44055,-2.256801,-1.1281691
Alvino Rey & His Orchestra - My Buddy,space age pop,3,1.0,159.78343,-3.9842904,-0.6046473
Alvino Rey & His Orchestra - Steel Guitar Rag,space age pop,3,1.0,150.87323,-2.860497,-0.6724238
AmaLee - Metamorphosis,death metal,3,1.0,165.61714,0.70593613,1.4319957
Amalia Avgoustaki - Dimitroula,greek,3,1.0,161.47542,1.0307437,1.105523
Amanajé - Herval na percaria,frevo,3,1.0,160.24986,-0.33256426,-0.60448027
Amber Nicholson - Tonight It's Just Me,country,3,1.0,162.46841,-0.6618399,0.18135877
Ameritz Countdown Karaoke - Rendezvous-Ich Hab' Dich Seit Langem Nicht Gesehen (In the Style of Jawoll) [Karaoke Version],new wave,3,1.0,167.02849,0.7138348,0.03704546
Ameritz Karaoke Entertainment - This Is My Life (In the Style of Phil Vassar) [Karaoke Version],country rock,2,1.0,128.54507,-0.35935038,0.7457901
Amil - Anyday (Explicit Album Version),hip hop,0,1.0,146.30974,4.119525,-1.6414586
Amil - Get Down (Explicit Album Version),hip hop,0,1.0,148.57178,2.763161,-0.45221806
Amilcar - L4-L5,meditation,3,1.0,144.39368,-3.3495588,-0.7067611
Amira Elfeky - Tonight (demo),downtempo,3,1.0,169.57928,-1.1773593,0.6888773
Amoral - Perfection Design,death metal,3,1.0,167.35654,-0.5926738,2.8467174
Amoral - The Last Round,death metal,3,1.0,169.93748,-0.584697,2.3953032
Amorphis - And I Hear You Call,progressive metal,3,1.0,169.73024,-0.3130281,2.6501076
Amorphis - Black Embrace (From the Privilege of Evil EP),progressive metal,3,1.0,149.39632,0.83056265,3.760028
Amorphis - Crimson Wave,progressive metal,3,1.0,169.09224,-0.39688104,2.198143
Amorphis - Into Hiding,progressive metal,3,1.0,160.68266,-0.65621996,2.3907225
