"msd_track_id","filename","audio_basename","deezer_artist","deezer_title","genre","primary_genre","genre_count"
"TRAKJYQ128F934B22E","40 Grit - A Part Of Me.wav","40 Grit - A Part Of Me","40 Grit","A Part Of Me","nu metal, alternative metal, heavy metal, progressive house, deep house","nu metal","5"
"TRABCTK128F934B224","40 Grit - Intro.wav","40 Grit - Intro","40 Grit","Intro","nu metal, alternative metal, heavy metal, progressive house, deep house","nu metal","5"
"TRAJZYI128F424B412","45 Grave - Party Time.wav","45 Grave - Party Time","45 Grave","Party Time","deathrock, horror punk, death metal, hard trance, tech house","deathrock","5"
"TRAJHEE12903CB937A","4Him - Freedom.wav","4Him - Freedom","4Him","Freedom","ccm, gospel, contemporary christian, christian rock, hymns","ccm","5"
"TRAFGMJ128F930F532","4Him - Wings.wav","4Him - Wings","4Him","Wings","ccm, gospel, contemporary christian, christian rock, hymns","ccm","5"
"TRAOTVL12903CABE54","4Him - You Are Holy.wav","4Him - You Are Holy","4Him","You Are Holy","ccm, gospel, contemporary christian, christian rock, hymns","ccm","5"
"TRAYHQD128F930F4F2","5th Ward Boyz - Studio Gangster.wav","5th Ward Boyz - Studio Gangster","5th Ward Boyz","Studio Gangster","hip hop, gangster rap, g funk, dirty south rap, gangsta","hip hop","5"
"TRAFKSA128F930F4FA","5th Ward Boyz - Undercover Gangstas.wav","5th Ward Boyz - Undercover Gangstas","5th Ward Boyz","Undercover Gangstas","hip hop, gangster rap, g funk, dirty south rap, gangsta","hip hop","5"
"TRAMEEC128F9307A54","99 Posse - Rafaniello.wav","99 Posse - Rafaniello","99 Posse","Rafaniello","reggae, hip hop, breakbeat, ragamuffin, dub","reggae","5"
"TRAXSYH128F9307A73","99 Posse - Salario Garantito (Versione Strumentale).wav","99 Posse - Salario Garantito (Versione Strumentale)","99 Posse","Rafaniello (Versione Strumentale)","reggae, hip hop, breakbeat, ragamuffin, dub","reggae","5"
"TRANZHO128F4289A58","9th Wonder - Saved.wav","9th Wonder - Saved","9th Wonder","Saved","hip hop, alternative hip hop, beat, turnablism, rap","hip hop","5"
"TRAHUAW128F425BA0B","A Challenge Of Honour - Heiliges Feuer.wav","A Challenge Of Honour - Heiliges Feuer","A Challenge Of Honour","Heiliges Feuer","jungle music, dubstep, dubtronica, ragga jungle, grime","jungle music","5"
"TRAPYML128F423DF98","A Skylit Drive - Ability To Create A War.wav","A Skylit Drive - Ability To Create A War","A Skylit Drive","Ability To Create A War","progressive metal, rock, hardcore, alternative, screamo","progressive metal","5"
"TRABKBS128F42823EC","A Static Lullaby - God Bless You (Goddamn it) (Album Version).wav","A Static Lullaby - God Bless You (Goddamn it) (Album Version)","A Static Lullaby","God Bless You (Goddamn it) (Album Version)","post-hardcore, screamo, emo, alternative metal, melodic hardcore","post-hardcore","5"
"","A Static Lullaby - Toxic.wav","A Static Lullaby - Toxic","A Static Lullaby","Toxic","post-hardcore","post-hardcore","1"
"TRAVELY128F42606F8","A Tribe Called Quest - Like It Like That.wav","A Tribe Called Quest - Like It Like That","A Tribe Called Quest","Like It Like That","jazz rap, hip hop, rap, east coast rap, alternative rap","jazz rap","5"
"TRAIBXJ128F4260700","A Tribe Called Quest - Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) (LP Mix).wav","A Tribe Called Quest - Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) (LP Mix)","A Tribe Called Quest","Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) (LP Mix)","jazz rap, hip hop, rap, east coast rap, alternative rap","jazz rap","5"
"TRALAZE12903CA5A3B","A Tundra - The Doug McComb Over.wav","A Tundra - The Doug McComb Over","A Tundra","The Doug McComb Over","beat, bel canto, electronica, banda, pop","beat","5"
"TRAPHZT128F147A02B","AFI - Affliction.wav","AFI - Affliction","AFI","Affliction","post-hardcore, alternative rock, emo, punk, rock","post-hardcore","5"
"TRAKQXJ128F147A028","AFI - Summer Shudder.wav","AFI - Summer Shudder","AFI","Summer Shudder","post-hardcore, alternative rock, emo, punk, rock","post-hardcore","5"
"TRAERMS128F427EC54","ANAT BEN-DAVID - Moon Boom.wav","ANAT BEN-DAVID - Moon Boom","ANAT BEN-DAVID","Moon Boom","tech house, riot grrrl, experimental pop, electroclash, electro","tech house","5"
"TRAKEOZ128F427EC52","ANAT BEN-DAVID - Robot Kid.wav","ANAT BEN-DAVID - Robot Kid","ANAT BEN-DAVID","Robot Kid","tech house, riot grrrl, experimental pop, electroclash, electro","tech house","5"
"TRAUVSF128F14A0B6F","ATB - Collides with Beauty.wav","ATB - Collides with Beauty","ATB","Collides with Beauty","progressive house, progressive trance, club, electronica, downtempo","progressive house","5"
"TRAUHVP128F933657C","ATMAN - All is One.wav","ATMAN - All is One","ATMAN","All Is One","downtempo, chill-out, dub, blues-rock, world beat","downtempo","5"
"TRAFKFP128F93366A1","ATMAN - Dancing with the Goddess (ttt Rmx).wav","ATMAN - Dancing with the Goddess (ttt Rmx)","ATMAN","Dancing with the Goddess (ttt Rmx)","downtempo, chill-out, dub, blues-rock, world beat","downtempo","5"
"TRASWAT128F93369E7","ATMAN - Govinda.wav","ATMAN - Govinda","ATMAN","Govinda","downtempo, chill-out, dub, blues-rock, world beat","downtempo","5"
"TRAHTBV128F933668F","ATMAN - Luminous Bliss.wav","ATMAN - Luminous Bliss","ATMAN","Luminous Bliss","downtempo, chill-out, dub, blues-rock, world beat","downtempo","5"
"TRAQKUB128F1460B81","AZ - Aziatic (Outro) (Album Version Edited).wav","AZ - Aziatic (Outro) (Album Version Edited)","AZ","Aziatic (Outro) (Album Version Edited)","gangster rap, hip hop, east coast rap, east coast hip hop, hard rock","gangster rap","5"
"","Aaron Neville - For The Good Times.wav","Aaron Neville - For The Good Times","Aaron Neville","For The Good Times","post-grunge","post-grunge","1"
"TRABONH128F92D58DA","Aaron Watson - Rollercoaster Ride (Live).wav","Aaron Watson - Rollercoaster Ride (Live)","Aaron Watson","Rollercoaster Ride (Live)","honky tonk, classic country, country rock, southern rock, singer-songwriter","honky tonk","5"
"TRANXZM128F92D58DF","Aaron Watson - Sweet Contradiction.wav","Aaron Watson - Sweet Contradiction","Aaron Watson","Sweet Contradiction","honky tonk, classic country, country rock, southern rock, singer-songwriter","honky tonk","5"
"TRAVAUF128F93033E5","Abbott & Chambers - Never After.wav","Abbott & Chambers - Never After","Abbott & Chambers","Never After","progressive trance, trance, hard trance, electronic, vocal trance","progressive trance","5"
"TRAAQZQ128EF35C51A","Aberdeen - Beyond the Light.wav","Aberdeen - Beyond the Light","Aberdeen","Beyond the Light","twee pop, pop rock, indie rock, rock, indie pop","twee pop","5"
"TRARHBD128F423A0EA","Abijah - Children Of Love.wav","Abijah - Children Of Love","Abijah","Children Of Love","roots reggae, reggae, dancehall, dub, rasta","roots reggae","5"
"TRANUUK128E0788284","Abracadabra - Otra vez.wav","Abracadabra - Otra vez","Abracadabra","Otra vez","hard trance, dub, progressive trance, oldies, black metal","hard trance","5"
"TRAGDDC128E0788279","Abracadabra - Te estoy saboreando.wav","Abracadabra - Te estoy saboreando","Abracadabra","Te estoy saboreando","hard trance, dub, progressive trance, oldies, black metal","hard trance","5"
"TRAAYTI128F933663B","Abraham Laboriel - Exchange.wav","Abraham Laboriel - Exchange","Abraham Laboriel","Exchange","jazz, fusion, blues, funk, jazz rock","jazz","5"
"","Abraham Laboriel - Wassup.wav","Abraham Laboriel - Wassup","Abraham Laboriel","Wassup","jazz","jazz","1"
"","Abreu - Shame.wav","Abreu - Shame","Abreu","Shame","shock rock","shock rock","1"
"TRABSAR128F42324A8","Abysmal Dawn - Compulsory Resurrection.wav","Abysmal Dawn - Compulsory Resurrection","Abysmal Dawn","Compulsory Resurrection","blackened death metal, technical death metal, brutal death metal, tech metal, heavy metal","blackened death metal","5"
"","Aceyalone - Let Me Hear Sumn (feat. Casual & Big Arch).wav","Aceyalone - Let Me Hear Sumn (feat. Casual & Big Arch)","Aceyalone","Let Me Hear Sumn (feat. Casual & Big Arch)","hip hop","hip hop","1"
"TRARVDX128F424A397","Aceyalone - Suicide.wav","Aceyalone - Suicide","Aceyalone","Suicide","hip hop, chill-out, trip hop, underground rap, alternative rap","hip hop","5"
"TRACFTL12903C93AAC","Acorps de rue - Chanson Réaliste.wav","Acorps de rue - Chanson Réaliste","Acorps de rue","Chanson Réaliste","musette, chanson, manouche, french, pop","musette","5"
"TRAQMNJ128F92E9D94","Ada Jane - The Queen's Treatment.wav","Ada Jane - The Queen's Treatment","Ada Jane","The Queen's Treatment","orchestra, power pop, ballad, pop, acoustic","orchestra","5"
"TRAPTMB12903CDA80E","Adalberto Santiago - Tu Me Desesperas.wav","Adalberto Santiago - Tu Me Desesperas","Adalberto Santiago","Tu Me Desesperas","salsa, latin jazz, latin, son montuno, los angeles","salsa","5"
"TRAJPPX128F4259FD4","Adam Ant - Friend Or Foe.wav","Adam Ant - Friend Or Foe","Adam Ant","Friend Or Foe","pop rock, new wave, dance rock, rock, new romantic","pop rock","5"
"TRATAZV128F425A410","Adam Ant - Goody Two Shoes.wav","Adam Ant - Goody Two Shoes","Adam Ant","Goody Two Shoes","pop rock, new wave, dance rock, rock, new romantic","pop rock","5"
"TRAAAEF128F4273421","Adam Ant - Something Girls.wav","Adam Ant - Something Girls","Adam Ant","Something Girls","pop rock, new wave, dance rock, rock, new romantic","pop rock","5"
"TRAWOVS128F424DC49","Adam Richman - From The Pain.wav","Adam Richman - From The Pain","Adam Richman","From The Pain","power pop, folk rock, easy listening, singer-songwriter, emo","power pop","5"
"TRAGUAA128F4291AB1","Adolph Hofner - How I Miss You Tonight.wav","Adolph Hofner - How I Miss You Tonight","Adolph Hofner","How I Miss You Tonight","western swing, polka, dance music, country, americana","western swing","5"
"TRATWTC128F4291AB3","Adolph Hofner - We Played a Game.wav","Adolph Hofner - We Played a Game","Adolph Hofner","We Played a Game","western swing, polka, dance music, country, americana","western swing","5"
"TRABQFJ12903CB6C29","Adr Lavey - In The Name of the Father.wav","Adr Lavey - In The Name of the Father","Adr Lavey","In The Name of the Father","gangster rap, trip hop, rap, hardcore, horrorcore","gangster rap","5"
"TRAHQZX12903CC457C","Adrenaline - Playing The Role Of God.wav","Adrenaline - Playing The Role Of God","Adrenaline","Playing The Role Of God","modern rock, hard house, nu metal, rapcore, progressive house","modern rock","5"
"","Adrienne Albert - The Owl and the Pussy-Cat.wav","Adrienne Albert - The Owl and the Pussy-Cat","Adrienne Albert","The Owl and the Pussy-Cat","ballet","ballet","1"
"TRAKIHI12903D007DE","Aeoliah - For Your Passion My Love (solo Por Tu Passion Amor Mio).wav","Aeoliah - For Your Passion My Love (solo Por Tu Passion Amor Mio)","Aeoliah","For Your Passion My Love (solo Por Tu Passion Amor Mio)","meditation, chill-out, easy listening, ambient, spiritual","meditation","5"
"TRAWPQV128F425290A","Aeoliah - Temple Bells.wav","Aeoliah - Temple Bells","Aeoliah","Temple Bells","meditation, chill-out, easy listening, ambient, spiritual","meditation","5"
"TRATOZH12903CFA6DC","Aeoliah - We Are One Light.wav","Aeoliah - We Are One Light","Aeoliah","We Are One Light","meditation, chill-out, easy listening, ambient, spiritual","meditation","5"
"TRAEMNZ128F9334662","Aerosmith - Angel.wav","Aerosmith - Angel","Aerosmith","Angel","blues-rock, heavy metal, hard rock, pop rock, glam rock","blues-rock","5"
"TRAQPKV128E078EE32","Aerosmith - Livin' On The Edge.wav","Aerosmith - Livin' On The Edge","Aerosmith","Livin' On The Edge","blues-rock, heavy metal, hard rock, pop rock, glam rock","blues-rock","5"
"TRAEATL128F42690A7","Aerosmith - Lord Of The Thighs.wav","Aerosmith - Lord Of The Thighs","Aerosmith","Lord Of The Thighs","blues-rock, heavy metal, hard rock, pop rock, glam rock","blues-rock","5"
"TRAKZHN128F426C3D2","Aerosmith - On The Road Again (Outtake - 1972).wav","Aerosmith - On The Road Again (Outtake - 1972)","Aerosmith","On The Road Again (Outtake - 1972)","blues-rock, heavy metal, hard rock, pop rock, glam rock","blues-rock","5"
"TRAVUAJ128E078EDA2","Aerosmith - What It Takes.wav","Aerosmith - What It Takes","Aerosmith","What It Takes","blues-rock, heavy metal, hard rock, pop rock, glam rock","blues-rock","5"
"TRABYVN128F429E5CF","Aesop Rock - Flashflood.wav","Aesop Rock - Flashflood","Aesop Rock","Flashflood","underground rap, indie, alternative rap, rap, funk","underground rap","5"
"TRAKPJU128F9300B55","Aesop Rock - Limelighters _ Flunkadelic Interlude.wav","Aesop Rock - Limelighters _ Flunkadelic Interlude","Aesop Rock","Limelighters / Flunkadelic Interlude","underground rap, indie, alternative rap, rap, funk","underground rap","5"
"TRAWOCK128F9300BC3","Aesop Rock - No City (Instrumental).wav","Aesop Rock - No City (Instrumental)","Aesop Rock","No City (Instrumental)","underground rap, indie, alternative rap, rap, funk","underground rap","5"
"TRATZPD12903CC99FB","Aesop Rock - Train Buffer.wav","Aesop Rock - Train Buffer","Aesop Rock","Train Buffer","underground rap, indie, alternative rap, rap, funk","underground rap","5"
"TRATOFK128F422AD0C","African Rhythm Messengers - baby Wayo.wav","African Rhythm Messengers - baby Wayo","African Rhythm Messengers","baby Wayo","highlife, soukous, beat, world, reggae","highlife","5"
"TRAWUUX128F426731A","Africando - Lindas Africanas.wav","Africando - Lindas Africanas","Africando","Lindas Africanas","salsa, mambo, afrobeat, charanga, samba","salsa","5"
"","Afrob - Gief Konjunkturpaket VI.wav","Afrob - Gief Konjunkturpaket VI","Afrob","Gief Konjunkturpaket VI","pop rap","pop rap","1"
"TRAASZE128F93499AE","Agnes - I Need You Now.wav","Agnes - I Need You Now","Agnes","I Need You Now","europop, tech house, christian rock, electropop, heavy metal","europop","5"
"TRAEATZ128F426E5C8","Agnes - Non Conformist Acclaimed (Original Mix).wav","Agnes - Non Conformist Acclaimed (Original Mix)","Agnes","Non Conformist Acclaimed (Original Mix)","europop, tech house, christian rock, electropop, heavy metal","europop","5"
"TRARACF128F424FACF","Agnostic Front - Come Alive.wav","Agnostic Front - Come Alive","Agnostic Front","Come Alive","hardcore punk, heavy metal, new york, punk, hardcore","hardcore punk","5"
"TRANVML128F426ACB2","Agnostic Front - No One Hears You.wav","Agnostic Front - No One Hears You","Agnostic Front","No One Hears You","hardcore punk, heavy metal, new york, punk, hardcore","hardcore punk","5"
"TRALYQN128F42624E1","Agnostic Front - Rock Star.wav","Agnostic Front - Rock Star","Agnostic Front","Rock Star","hardcore punk, heavy metal, new york, punk, hardcore","hardcore punk","5"
"TRAVYIU128F42625E1","Agnostic Front - Standing On My Own.wav","Agnostic Front - Standing On My Own","Agnostic Front","Standing On My Own","hardcore punk, heavy metal, new york, punk, hardcore","hardcore punk","5"
"TRAKXYJ128F42525ED","Agnostic Front - Undertow.wav","Agnostic Front - Undertow","Agnostic Front","Undertow","hardcore punk, heavy metal, new york, punk, hardcore","hardcore punk","5"
"TRATCDG128F932B4D2","Aiden - Black Market Hell (Hidden Track).wav","Aiden - Black Market Hell (Hidden Track)","Aiden","Black Market Hell (Hidden Track)","post-hardcore, emo, rock, punk, gothic","post-hardcore","5"
"TRAFMME128F932B4D5","Aiden - Killing Machine.wav","Aiden - Killing Machine","Aiden","Killing Machine","post-hardcore, emo, rock, punk, gothic","post-hardcore","5"
"TRASUUO12903CE3720","Aiden - We Sleep Forever (Live At The Bottom Lounge, Chicago, IL _ January 13, 2009).wav","Aiden - We Sleep Forever (Live At The Bottom Lounge, Chicago, IL _ January 13, 2009)","Aiden","We Sleep Forever (Live At The Bottom Lounge, Chicago, IL / January 13, 2009)","post-hardcore, emo, rock, punk, gothic","post-hardcore","5"
"","Airdraw - A Través del Tiempo Naranja.wav","Airdraw - A Través del Tiempo Naranja","Airdraw","A Través del Tiempo Naranja","jungle music","jungle music","1"
"TRAXBLJ128F92EEBB1","Aisha Duo - Beneath an Evening Sky.wav","Aisha Duo - Beneath an Evening Sky","Aisha Duo","Beneath an Evening Sky","jazz fusion, free jazz, meditation, marimba, chill-out","jazz fusion","5"
"","Ajay-Atul - Shah Ka Rutba.wav","Ajay-Atul - Shah Ka Rutba","Ajay-Atul","Shah Ka Rutba","desi","desi","1"
"","Akon - Belly Dancer (Bananza) (Remix).wav","Akon - Belly Dancer (Bananza) (Remix)","Akon","Belly Dancer (Bananza) (Remix)","hip hop","hip hop","1"
"TRAPTOE128F4272000","Akon - Don't Matter.wav","Akon - Don't Matter","Akon","Don't Matter","hip hop, urban, pop, club, jazz","hip hop","5"
"TRAGJQZ128F9302ADA","Akon - Over The Edge (Album Version).wav","Akon - Over The Edge (Album Version)","Akon","Over The Edge (Album Version)","hip hop, urban, pop, club, jazz","hip hop","5"
"TRAXWND128F428FBEB","Al De Lory - Country Girl.wav","Al De Lory - Country Girl","Al De Lory","Country Girl","salsa, space age pop, latin jazz, hyphy, easy listening","salsa","5"
"TRAGFDW128F933A421","Al Denson - Love Is Taking Hold.wav","Al Denson - Love Is Taking Hold","Al Denson","Love Is Taking Hold","ccm, christian music, california, christian, beautiful","ccm","5"
"TRANLXB128F92FE4F4","Al Denson - Rain Love.wav","Al Denson - Rain Love","Al Denson","Rain Love","ccm, christian music, california, christian, beautiful","ccm","5"
"TRASOHG128F4287A68","Al Denson - The Arms That Won't Let Go (The Pillow Song)_Great Is Thy Faithfulness.wav","Al Denson - The Arms That Won't Let Go (The Pillow Song)_Great Is Thy Faithfulness","Al Denson","The Arms That Won't Let Go (The Pillow Song)/Great Is Thy Faithfulness","ccm, christian music, california, christian, beautiful","ccm","5"
"TRARTME12903CE0253","Al Dexter - I'll Wait for You, Dear.wav","Al Dexter - I'll Wait for You, Dear","Al Dexter","I'll Wait for You, Dear","honky tonk, classic country, western swing, oldies, rockabilly","honky tonk","5"
"TRAVFJV128F92D2043","Al Di Meola - Bianca's Midnight Lullaby.wav","Al Di Meola - Bianca's Midnight Lullaby","Al Di Meola","Bianca's Midnight Lullaby","latin jazz, tango, jazz, jazz funk, jazz fusion","latin jazz","5"
"TRARWMG128F933667C","Al Di Meola - Calliope (Album Version).wav","Al Di Meola - Calliope (Album Version)","Al Di Meola","Calliope (Album Version)","latin jazz, tango, jazz, jazz funk, jazz fusion","latin jazz","5"
"","Al DiMeola Project - July.wav","Al DiMeola Project - July","Al DiMeola Project","July","latin jazz","latin jazz","1"
"TRAXECH128F421B47F","Al Rapone - Chere Duloone.wav","Al Rapone - Chere Duloone","Al Rapone","Chere Duloone","zydeco, contemporary blues, country music, los angeles, louisiana","zydeco","5"
"TRAPWSV128F4294DF4","Al Toomer - Finish the Job.wav","Al Toomer - Finish the Job","Al Toomer","Finish the Job","stand-up comedy, comedy, funny, spoken word, comedian","stand-up comedy","5"
"TRAEWQV128F427B9B2","Alain Morisod - Besame Mucho.wav","Alain Morisod - Besame Mucho","Alain Morisod","Besame Mucho","chill-out, german pop, chanson, easy listening, disco","chill-out","5"
"TRAIPBM128F424B87C","Alain Morisod - L'Amour en Heritage.wav","Alain Morisod - L'Amour en Heritage","Alain Morisod","L'Amour en Heritage","chill-out, german pop, chanson, easy listening, disco","chill-out","5"
"TRAPXZH128F92E1E72","Alain Souchon - Le bagad de Lann Bihouë (Live).wav","Alain Souchon - Le bagad de Lann Bihouë (Live)","Alain Souchon","Le bagad de Lann Bihouë (Live)","chanson, ballad, pop, french pop, progressive house","chanson","5"
"TRARITF12903CE7DA9","Alain-François - Playa del sous-sol.wav","Alain-François - Playa del sous-sol","Alain-François","Playa del sous-sol","french pop","french pop","1"
"TRAMWON12903CE7DBA","Alain-François - The Frog Song.wav","Alain-François - The Frog Song","Alain-François","The Frog Song","french pop","french pop","1"
"TRAPOYK128F426BE3B","Alan Silvestri - Full House.wav","Alan Silvestri - Full House","Alan Silvestri","Full House","country rock, soundtrack, pop rock, ballad, disco","country rock","5"
"TRABTBA128F9312BD8","Alan Silvestri - The Joe's Mobilize.wav","Alan Silvestri - The Joe's Mobilize","Alan Silvestri","The Joe's Mobilize","country rock, soundtrack, pop rock, ballad, disco","country rock","5"
"TRAVQER128F426FFDA","Alan Silvestri - _Not Meant To Be Found_.wav","Alan Silvestri - _Not Meant To Be Found_","Alan Silvestri","""Not Meant To Be Found""","country rock, soundtrack, pop rock, ballad, disco","country rock","5"
"TRAIMTO128F4288EEF","Alas - Silencio de Aguas Profundas (Remasterizado 2025).wav","Alas - Silencio de Aguas Profundas (Remasterizado 2025)","Alas","Silencio De Aguas Profundas","symphonic metal, gothic metal, symphonic rock, dubstep, jazz fusion","symphonic metal","5"
"TRATITX128F4245C6D","Albert Ayler - Ghosts_ Second Variation.wav","Albert Ayler - Ghosts_ Second Variation","Albert Ayler","Ghosts: Second Variation","free jazz, soul jazz, jazz, free improvisation, hard bop","free jazz","5"
"TRAPARR12903CE2125","Albert Ayler - Music Is The Healing Force Of The Universe.wav","Albert Ayler - Music Is The Healing Force Of The Universe","Albert Ayler","Music Is The Healing Force Of The Universe","free jazz, soul jazz, jazz, free improvisation, hard bop","free jazz","5"
"TRARFXI128F1468CE3","Albert Collins - Same Old Thing.wav","Albert Collins - Same Old Thing","Albert Collins","Same Old Thing","texas blues, chicago blues, blues-rock, blues, electric blues","texas blues","5"
"TRANMSI128F92CB1A0","Albert King - I'm Gonna Move To The Outskirts Of Town (Live).wav","Albert King - I'm Gonna Move To The Outskirts Of Town (Live)","Albert King","I'm Gonna Move To The Outskirts Of Town (Live)","electric blues, soul blues, blues, blues-rock, chicago blues","electric blues","5"
"","Albert King - Please Come Back To Me.wav","Albert King - Please Come Back To Me","Albert King","Please Come Back To Me","electric blues","electric blues","1"
"TRANZKG128F429068A","Albert King - Watermelon Man (Live At The Fillmore Auditorium _ 1968 _ Remastered 2024).wav","Albert King - Watermelon Man (Live At The Fillmore Auditorium _ 1968 _ Remastered 2024)","Albert King","Watermelon Man (Live)","electric blues, soul blues, blues, blues-rock, chicago blues","electric blues","5"
"TRALEAN12903CA99B4","Albert Préjean - Dédé De Montmartre.wav","Albert Préjean - Dédé De Montmartre","Albert Préjean","Dédé De Montmartre","chanson, opera, pop, french pop","chanson","4"
"TRADJVN128F42AC93D","Alberto Cortez - Distancia (En Vivo).wav","Alberto Cortez - Distancia (En Vivo)","Alberto Cortez","Distancia (En Vivo)","chanson, bolero, chorus, flamenco, latin","chanson","5"
"TRAHAOP128F42AC92E","Alberto Cortez - Guitarra dímelo tú.wav","Alberto Cortez - Guitarra dímelo tú","Alberto Cortez","Guitarra dímelo tú","chanson, bolero, chorus, flamenco, latin","chanson","5"
"TRAIUVT12903CD76F3","Albin Myers - Times Like These (EDX's Indian Summer Remix).wav","Albin Myers - Times Like These (EDX's Indian Summer Remix)","Albin Myers","Times Like These (EDX's Indian Summer Remix)","progressive house, electro, electronica, dutch, progressive","progressive house","5"
"TRAUSBV128F9344D08","Alceu Valença - Na Primeira Manhã.wav","Alceu Valença - Na Primeira Manhã","Alceu Valença","Na Primeira Manhã","brazilian pop music, latin jazz, bossa nova, psychedelic rock, frevo","brazilian pop music","5"
"TRAEQPB128F1475024","Alceu Valença - Sete Desejos.wav","Alceu Valença - Sete Desejos","Alceu Valença","Sete Desejos","brazilian pop music, latin jazz, bossa nova, psychedelic rock, frevo","brazilian pop music","5"
"TRANSDL128F93507B9","Ale Möller - Sandpolskan.wav","Ale Möller - Sandpolskan","Ale Möller","Sandpolskan","neofolk, world music, folk, world, scandinavia","neofolk","5"
