msd_track_id,msd_artist,msd_title,deezer_artist,deezer_title,filename,genre,key,mode,loudness,tempo,key_confidence,mode_confidence,has_audio
TRAADVH128EF34DE7A,The New York Dolls,Human Being,The New York Dolls,"Human Being (Recorded at Planet Studios, NYC, March 1973)","The New York Dolls - Human Being (Recorded at Planet Studios, NYC, March 1973).mp3","glam rock, hard rock, protopunk, rock 'n roll, blues-rock",11,1,-9.253,154.953,0.425,0.486,True
TRAADYB128F92D7E73,Eliane Elias,The More I See You,Eliane Elias,The More I See You,Eliane Elias - The More I See You.mp3,"brazilian jazz, latin jazz, hard bop, jazz funk, vocal jazz",7,1,-12.009,86.091,0.391,0.319,True
TRAADYI128E078FB38,Lost Boyz,Certain Things We Do,Lost Boyz,Certain Things We Do,Lost Boyz - Certain Things We Do.mp3,"gangster rap, g funk, hip hop, east coast hip hop, rap",7,1,-11.043,90.218,0.715,0.614,True
TRAAEDJ12903CCE390,Yamandu Costa,Mafuá,Yamandu Costa,Mafuá,Yamandu Costa - Mafuá.mp3,"brazilian jazz, brazilian pop music, choro, jazz, brazilian",2,1,-14.179,205.317,0.105,0.433,True
TRAAEEH128E0795DFE,Chris Rea,Driving Home For Christmas,Chris Rea,Driving Home for Christmas,Chris Rea - Driving Home for Christmas.mp3,"soft rock, blues-rock, pop rock, country rock, singer-songwriter",9,1,-8.531,180.149,0.222,0.403,True
TRAAELO128F9302DD1,Perrey And Kingsley,Spooks In Space,Perrey And Kingsley,Spooks In Space,Perrey And Kingsley - Spooks In Space.mp3,"easy listening, jazz funk, space age pop, big beat, electronic",0,0,-8.541,102.538,0.61,0.489,True
TRAAEMJ128F425A917,Eurythmics,Tous Les Garçons Et Les Filles,Eurythmics,Tous Les Garçons Et Les Filles (Remastered Version),Eurythmics - Tous Les Garçons Et Les Filles (Remastered Version).mp3,"dance rock, new wave, synthpop, rock, pop",0,1,-6.629,84.164,0.442,0.371,True
TRAAERU128F930674F,Vickie Winans,Make Me Over,Vickie Winans,Make Me Over,Vickie Winans - Make Me Over.mp3,"ccm, soul jazz, hip hop, italian disco, trip hop",11,0,-8.686,107.961,0.172,0.369,True
TRAAENP128F147BF32,John Cale,Movement 4 [from Kiss] (Album Version),,,,"experimental rock, art rock, experimental, alternative, indie",7,1,-12.412,137.004,0.458,0.602,False
TRAAEOU128F9309DE0,Suzanne Ciani,Stream,Suzanne Ciani,Stream,Suzanne Ciani - Stream.mp3,"meditation, chill-out, downtempo, new age, easy listening",7,1,-21.552,106.33,0.527,0.613,True
TRAAEUB12903CDD3EA,The Berzerker,Deform (live),The Berzerker,Deform (live),The Berzerker - Deform (live).mp3,"speedcore, grindcore, gabba, death metal, breakcore",1,1,-6.222,174.287,0.108,0.256,True
TRAAEWG128F930B3A4,Kings Of Leon,Wicker Chair,Kings Of Leon,Wicker Chair,Kings Of Leon - Wicker Chair.mp3,"southern rock, alternative rock, rock, nashville, american trad rock",0,1,-5.907,116.823,0.612,0.735,True
TRAAENC128F1451DE9,Francis Dunnery,Too Much Saturn,Francis Dunnery,Too Much Saturn,Francis Dunnery - Too Much Saturn.mp3,"singer-songwriter, art rock, soundtrack, progressive rock, pop rock",7,1,-13.33,124.175,0.666,0.658,True
TRAAEXM128F92D47C8,Edith Lefel,An ti chans',Edith Lefel,An ti chans' (Remastered 2024),Edith Lefel - An ti chans' (Remastered 2024).mp3,"zouk, merengue, kizomba, zouklove, reggae",0,1,-4.638,101.972,0.29,0.389,True
TRAAFON128F42926FB,Bruce Rowland,Rosemary Recalls,Bruce Rowland,Rosemary Recalls,Bruce Rowland - Rosemary Recalls.mp3,"easy listening, chill-out, soundtrack, orchestra, classical",7,1,-26.266,115.642,0.469,0.591,True
TRAAFMS128F933AB23,Soda Stereo,Entre Caníbales,Soda Stereo,Entre Caníbales (Remasterizado 2007),Soda Stereo - Entre Caníbales (Remasterizado 2007).mp3,"rock, latin pop, ska, reggae, rap",7,1,-9.603,112.903,0.161,0.205,True
TRAAFKJ12903D02552,Murskahumppa,Ota kiinni,Murskahumppa,Ota kiinni,Murskahumppa - Ota kiinni.mp3,"suomi rock, humppa, hardcore punk, finish, punk",7,1,-8.488,110.787,0.379,0.401,True
TRAAFJW128F428A424,NOFX,Stickin In My Eye,NOFX,Stickin In My Eye,NOFX - Stickin In My Eye.mp3,"punk, rock, alternative punk rock, punk pop, skate punk",4,0,-7.787,152.622,0.093,0.423,True
TRAAFSM128F425A2C5,White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),,,,"ccm, christian rock, contemporary christian, pop rock, hard rock",5,1,-9.998,113.277,0.596,0.567,False
TRAAFEB128F92F8694,Taras,I Will Love Again (JJ's Club Radio),TARAS,I Will Love Again (JJ's Club Radio),TARAS - I Will Love Again (JJ's Club Radio).mp3,"trance, electronic, dance, house, techno",11,0,-5.884,127.97,0.056,0.283,True
TRAAFRU128F9339158,Xcultures,Sudanese Dance,Xcultures,Sudanese Dance,Xcultures - Sudanese Dance.mp3,"gabba, happy hardcore, world beat, chill-out, disco",1,1,-6.305,125.013,0.652,0.694,True
TRAAFUJ128F933F42B,Heavy D / McGruff,Wanna Be A Player,Heavy D,Wanna Be A Player (Album Version),Heavy D - Wanna Be A Player (Album Version).mp3,"pop rap, hip hop, new jack swing, broken beat, europop",5,0,-9.161,96.979,0.665,0.606,True
TRAAGKF128F932D5A2,Smartbomb,Complicate It,Smartbomb,Complicate It,Smartbomb - Complicate It.mp3,"melodic hardcore, post-grunge, hardcore punk, punk, hardcore",0,1,-2.658,132.022,0.53,0.501,True
TRAAGJV128F1464090,Lesley Gore,It's My Party,Lesley Gore,It's My Party,Lesley Gore - It's My Party.mp3,"brill building pop, oldies, ballad, soft rock, motown",9,1,-9.091,129.122,0.386,0.632,True
TRAAGEC128E079252C,Nine Inch Nails,Metal,Nine Inch Nails,Metal (Remix),Nine Inch Nails - Metal (Remix).mp3,"industrial metal, alternative metal, industrial rock, alternative rock, rock",0,0,-12.951,63.017,0.05,0.395,True
TRAAGHM128EF35CF8E,Nadine Renee,Next Time,Nadine Renee,Next Time,Nadine Renee - Next Time.mp3,"freestyle, disco, hard house, dance pop, progressive trance",2,1,-6.693,167.92,0.883,0.728,True
TRAAGGE128F9325E2C,Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),,,,"rock, alternative, soundtrack, guitar, piano",9,0,-11.751,144.603,0.052,0.142,False
TRAAGCZ128F93210FD,Black Eyed Peas,Let's Get It Started,The Black Eyed Peas,Let's Get It Started (Spike Mix),The Black Eyed Peas - Let's Get It Started (Spike Mix).mp3,"hip hop, rap, funk, r&b, pop",11,0,-4.882,105.206,0.205,0.332,True
TRAAFYL128E07856A7,Van Halen,Panama (Remastered Album Version),,,,"heavy metal, hard rock, rock, album rock, soundtrack",8,1,-4.865,140.995,0.455,0.48,False
TRAAGKQ128F92EAF39,Suburbs,Monde De Fou,,,,"british pop, new romantic, chill-out, string quartet, power pop",1,1,-4.42,183.92,0.842,0.721,False
TRAAGPF12903CE027E,Slim Whitman,Indian Love Call,Slim Whitman,Indian love call,Slim Whitman - Indian love call.mp3,"folk-pop, country rock, pop rock, classic country, ballad",3,1,-11.98,91.487,0.883,0.735,True
TRAAGOH128F42593CE,T.G. Sheppard,You Feel Good All Over,T.G. Sheppard,You Feel Good All Over,T.G. Sheppard - You Feel Good All Over.mp3,"country rock, rock, country, country pop, folk",5,1,-15.581,82.343,1.0,0.886,True
TRAAGKS128F9314884,Emperor,Opus a Satana (Part 2),,,,"heavy metal, black metal, sympho black metal, hard trance, death metal",9,0,-11.051,89.867,0.0,0.0,False
TRAAGPH128F4273C8D,Savage Garden,You Can Still Be Free,Savage Garden,You Can Still Be Free,Savage Garden - You Can Still Be Free.mp3,"easy listening, pop, rock, adult contemporary, ballad",9,0,-11.215,84.69,0.0,0.0,True
TRAAGNL128F4299BF1,Glen Campbell,I'm Gone This Time,Glen Campbell,I'm Gone This Time,Glen Campbell - I'm Gone This Time.mp3,"country rock, soft rock, pop rock, folk rock, ballad",1,0,-11.335,137.29,0.62,0.814,True
TRAAGMJ12903CAD7D4,Julien Clerc,This Melody (Live),Julien Clerc,This Melody (Live),Julien Clerc - This Melody (Live).mp3,"chanson, ballad, pop, disco, blues-rock",2,1,-9.97,119.896,0.633,0.605,True
TRAAGPJ128F428CD1B,Queens Of The Stone Age,I Never Came,Queens Of The Stone Age,I Never Came (Alive in the Catacombs),Queens Of The Stone Age - I Never Came (Alive in the Catacombs).mp3,"stoner metal, alternative metal, heavy metal, hard rock, rock",2,1,-8.165,115.606,0.08,0.665,True
TRAAHDH128F93094B6,Bézu,Le tortillard,Bézu,Le Tortillard,Bézu - Le Tortillard.mp3,"chanson, bossa nova, black metal, pop, electronic",8,1,-9.093,126.88,0.508,0.343,True
TRAAGVM128E0784D95,Borialis,Hourglass,Borialis,Hourglass (Edited),Borialis - Hourglass (Edited).mp3,"rap rock, rapcore, funk metal, nu metal, hip hop",2,1,-5.758,86.938,0.569,0.601,True
TRAAGVF128E0789785,Inspiral Carpets,Commercial Reign,Inspiral Carpets,Commercial Reign,Inspiral Carpets - Commercial Reign.mp3,"indie rock, psychedelic rock, madchester, dance rock, rock",2,1,-8.7,113.677,0.823,0.69,True
TRAAGZU128EF360F47,Flor Silvestre,Caricia Y Herida,Flor Silvestre,Un Golpe Más,Flor Silvestre - Un Golpe Más.mp3,"ranchera, mexico, los angeles, folk, latin",11,1,-8.133,106.049,0.847,0.646,True
TRAAGXN128F92DE52C,The Dirty Skirts,Wake,The Dirty Skirts,Wake,The Dirty Skirts - Wake.mp3,"indie rock, singer-songwriter, indie, sxsw 2007, south african",0,1,-4.907,141.936,0.613,0.656,True
TRAAHEG128E07861C3,Redman,WKYA (drop),Redman,WKYA (Drop),Redman - WKYA (Drop).mp3,"hip hop, rap, hardcore rap, east coast rap, funk",1,0,-10.296,85.008,0.074,0.492,True
TRAAHEH128F427FCEF,Solistiyhtye Suomi,Teräslintu,Solistiyhtye Suomi,Teräslintu,Solistiyhtye Suomi - Teräslintu.mp3,"german pop, humppa, polka, patriotic, folk",4,0,-12.839,133.699,0.718,0.674,True
TRAAGUA128F93236E8,Hank Penny & The Lincoln Penny Orchestra,Dixie,Hank Penny and The Lincoln Penny Orchestra,Dixie,Hank Penny and The Lincoln Penny Orchestra - Dixie.mp3,"western swing, classic country, jazz, country, folk",7,0,-12.69,126.523,0.278,0.482,True
TRAAHER128F92E3FE9,Schizoid,Grim Prospects (Gross Prospects - Bad Trip Remix),,,,"breakcore, grindcore, breakbeat, digital hardcore, gabba",9,1,-2.119,102.408,0.376,0.334,False
TRAAHEQ128F93057B4,Eddie Cantor,Now's The Time To Fall In Love,Eddie Cantor,"Now's The Time To Fall In Love (from ""The Eddie Cantor Story"")",Eddie Cantor - Now's The Time To Fall In Love (from _The Eddie Cantor Story_).mp3,"easy listening, vaudeville, ragtime, jazz, world music",11,1,-13.71,118.975,0.599,0.517,True
TRAAHKE128F421389B,Sonny Simmons,A Distant Voice,Sonny Simmons,A Distant Voice,Sonny Simmons - A Distant Voice.mp3,"free jazz, jazz, los angeles, free music, free improvisation",1,1,-13.002,45.527,0.0,0.051,True
TRAAHPZ12903CB4643,Citizen Kaned,President Johnson,Citizen Kaned,President Johnson,Citizen Kaned - President Johnson.mp3,"chill-out, dub, progressive trance, downtempo, electronic",8,0,-8.37,108.061,0.822,0.503,True
TRAAHRF128F92FE234,The Brooklyn Tabernacle Choir,Lead Me Lord,The Brooklyn Tabernacle Choir,Lead Me Lord,The Brooklyn Tabernacle Choir - Lead Me Lord.mp3,"gospel, black gospel, contemporary gospel, contemporary christian, christian",7,1,-11.829,216.195,0.558,0.718,True
TRAAHJX128F9312B83,Kai Winding,Mangos,Kai Winding,Mangos (Remastered 2014) (Remastered 2014),Kai Winding - Mangos (Remastered 2014) (Remastered 2014).mp3,"hard bop, bebop, latin jazz, jazz, funk",0,1,-14.438,112.006,0.0,0.138,True
TRAAHTH12903CCFFE1,Ellen McIlwaine,Spontanous Combustion,Ellen McIlwaine,Bid You Goodnight,Ellen McIlwaine - Bid You Goodnight.mp3,"blues-rock, jazz funk, latin jazz, country blues, future jazz",7,1,-6.29,132.428,0.699,0.527,True
TRAAHMO128F92DE7C9,Mira,Openbare Weg,MIRA,Openbare Weg,MIRA - Openbare Weg.mp3,"shoegaze, dream pop, rock, dark wave, slow core",4,1,-12.004,85.621,0.695,0.673,True
TRAAIAE128F42AC53D,Martina McBride,I Can't Stop Loving You,Martina McBride,I Can't Stop Loving You,Martina McBride - I Can't Stop Loving You.mp3,"country, country music, pop, acoustic, contemporary country",7,1,-13.627,100.194,0.96,0.634,True
TRAAIAN12903CFF16D,Horace Andy,Thank You Lord,Horace Andy,Thank You Lord,Horace Andy - Thank You Lord.mp3,"roots reggae, lovers rock, dub, reggae, trip hop",2,1,-11.479,151.911,0.171,0.239,True
TRAAHXN128F9326097,Maurice Chevalier,Ma Louise,Paul Mauriat,Ma Louise,Paul Mauriat - Ma Louise.mp3,"chanson, latin jazz, cabaret, ballad, jazz",0,1,-27.433,140.956,0.371,0.484,True
TRAAHVY128F92E25D6,Vince Guaraldi / Bola Sete,Choro,Vince Guaraldi,Choro (Remastered 1998),Vince Guaraldi - Choro (Remastered 1998).mp3,"latin jazz, chamber jazz, soul jazz, jazz funk, jazz fusion",5,0,-15.761,168.307,0.238,0.07,True
TRAAIBB12903CECB35,Tyrone Davis,Cheatin' In The Next Room,Tyrone Davis,Cheatin' In the Next Room,Tyrone Davis - Cheatin' In the Next Room.mp3,"chicago soul, disco, southern soul, funk, northern soul",10,1,-10.466,161.976,0.46,0.379,True
TRAAHYV128F932A425,Carl Cox Vs Yousef,I Want You (Forever),,,,"tech house, progressive house, techno, electronica, acid house",1,1,-5.701,130.016,0.485,0.427,False
TRAAHZP12903CA25F4,Organized Konfusion,Hate,Organized Konfusion,Hate,Organized Konfusion - Hate.mp3,"hip hop, chill-out, east coast hip hop, jazz rap, trip hop",11,0,-8.709,175.769,0.306,0.22,True
TRAAIAX128F930531B,Nazz,How Can You Call That Beautiful (Stewkey Vocal),,,,"freakbeat, close harmony, garage rock, psychedelic rock, power pop",9,1,-6.302,119.691,0.606,0.475,False
TRAAIHL128F92E6DDA,Boyz II Men,On Bended Knee,Boyz II Men,On Bended Knee,Boyz II Men - On Bended Knee.mp3,"new jack swing, urban, soul, adult contemporary, ballad",8,1,-7.103,116.473,0.497,0.491,True
TRAAIDY128F92CA454,Hot Tuna,Candy Man,Hot Tuna,Candy Man,Hot Tuna - Candy Man.mp3,"blues-rock, blues, folk rock, psychedelic rock, rock",0,1,-9.275,172.398,0.601,0.563,True
TRAAIIE128F4288BB1,Howard Armstrong,My Four Reasons,Howard Armstrong,My Four Reasons,Howard Armstrong - My Four Reasons.mp3,"piedmont blues, country blues, blues, folk, tin pan alley",9,0,-13.495,126.821,0.0,0.094,True
TRAAIGD12903CA2F3C,Rory Block,Three Is a Crowd,Rory Block,Three Is a Crowd,Rory Block - Three Is a Crowd.mp3,"delta blues, blues, ballad, country blues, folk rock",1,1,-13.836,90.101,0.936,0.763,True
TRAAINT128F933BBE0,Les Ogres De Barback,Niev nietch nievitch,Les Ogres de Barback,Niev nietch nievitch (Instrumental),Les Ogres de Barback - Niev nietch nievitch (Instrumental).mp3,"chanson, gypsy jazz, chill-out, musette, ska",4,0,-6.01,137.888,0.446,0.383,True
TRAAIFG12903CB0BCB,Richard Burton,I See The Boys Of Summer,Richard Burton,I See the Boys of Summer,Richard Burton - I See the Boys of Summer.mp3,"jazz fusion, jam band, improvisational, jazz, synthpop",2,1,-37.398,109.823,0.45,0.685,True
TRAAILM128F93480BB,Miguel Gallardo,Eternamente Amame,Miguel Gallardo,Eternamente Ámame,Miguel Gallardo - Eternamente Ámame.mp3,"male vocalist, latin pop, mexico, latin, los angeles",5,1,-12.991,125.508,0.458,0.542,True
TRAAIII128F427D5D8,Donny Hathaway,Little Girl (LP Version),,,,"jazz funk, soul jazz, bossa nova, funk, chicago soul",2,1,-15.144,111.191,0.499,0.652,False
