filename,artist,title,matched,match_type,match_score,msd_track_id,msd_artist,msd_title
Heaven 17 - (We Don't Need This) Fascist Groove Thang (Remastered 2006).mp3,Heaven 17,(We Don't Need This) Fascist Groove Thang (Remastered 2006),True,exact,100.0,TRAAOJI128F1458DCD,Heaven 17,(We Don't Need This) Fascist Groove Thang
Pery Ribeiro - Our Love is Here to Stay.mp3,Pery Ribeiro,Our Love is Here to Stay,True,exact,100.0,TRAAOYG128F9314996,Pery Ribeiro,Our Love Is Here To Stay
Sven Tasnadi - Charisma Remixed.mp3,Sven Tasnadi,Charisma Remixed,False,,0.0,,,
Leland Martin - Stone Cold Fingers (Bonus Track).mp3,Leland Martin,Stone Cold Fingers (Bonus Track),True,exact,100.0,TRAAOEH128F426A82F,Leland Martin,Stone Cold Fingers (Bonus Track)
Hem - Have Yourself A Merry Little Christmas.mp3,Hem,Have Yourself A Merry Little Christmas,True,exact,100.0,TRAAQBF12903CF796B,Hem,Have Yourself A Merry Little Christmas
DJ Dips - Gerra De De.mp3,DJ Dips,Gerra De De,True,exact,100.0,TRAAQDL12903CA8FB5,DJ Dips,Gerra De De
Pentangle - Rain and Snow.mp3,Pentangle,Rain and Snow,True,exact,100.0,TRAAQDJ128F92F95E0,Pentangle,Rain And Snow
PASCAL SANGLA - Une petite pause.mp3,PASCAL SANGLA,Une petite pause,True,exact,100.0,TRAAPLS12903CB2D40,Pascal Sangla,Une petite pause
Lily Allen - U Killed It.mp3,Lily Allen,U Killed It,True,exact,100.0,TRAAQCK128F92E8C33,Lily Allen,U Killed It
Moss - Silent Hill.mp3,Moss,Silent Hill,True,exact,100.0,TRAAOXM12903CFB3B0,Moss,Silent Hill
Kiril Valeri - Bulgarian dream feat. Boika Prissadova.mp3,Kiril Valeri,Bulgarian dream feat. Boika Prissadova,False,,0.0,,,
Soular - Everything Changes.mp3,Soular,Everything Changes,True,exact,100.0,TRAAPCC128F42519A7,Soular,Everything Changes
Chris Brown - Forever.mp3,Chris Brown,Forever,True,exact,100.0,TRAAPVV128F425D64C,Chris Brown,Forever
Busdriver - (Bloody Paw on the) Kill Floor.mp3,Busdriver,(Bloody Paw on the) Kill Floor,True,exact,100.0,TRAAQIH128F428BDEA,Busdriver,(Bloody Paw On The) Kill Floor
"Public Image Limited - This Is Not a Love Song (Live at Zeche Bochum, 31.10.1983).mp3",Public Image Limited,"This Is Not a Love Song (Live at Zeche Bochum, 31.10.1983)",False,,0.0,,,
Laurindo Almeida - Retratos-Ernesto Nazareth (Instrumental).mp3,Laurindo Almeida,Retratos-Ernesto Nazareth (Instrumental),False,,0.0,,,
Byther Smith - I Wish My Mother Was Here.mp3,Byther Smith,I Wish My Mother Was Here,True,exact,100.0,TRAAQLE128F424AE71,Byther Smith,I Wish My Mother Was Here
The Willis Brothers - Give Me 40 Acres (To Turn This Rig Around).mp3,The Willis Brothers,Give Me 40 Acres (To Turn This Rig Around),True,exact,100.0,TRAAQUF12903CDF4A4,The Willis Brothers,Give Me 40 Acres (To Turn This Rig Around)
Ana Bekuta - Kako mi je pitas sad.mp3,Ana Bekuta,Kako mi je pitas sad,True,exact,100.0,TRAAQEV12903CB5459,Ana Bekuta,Kako mi je pitas sad
Gary Moore - What Are We Here For.mp3,Gary Moore,What Are We Here For,True,exact,100.0,TRAAPIV128F1493132,Gary Moore,What Are We Here For
Boogie Pimps - Get Back Down.mp3,Boogie Pimps,Get Back Down,True,exact,100.0,TRAAQYU12903CE68CE,Boogie Pimps,Get Back Down
Jason Miles - Voices on the Corner.mp3,Jason Miles,Voices on the Corner,True,exact,100.0,TRAAQFC128F425ED83,Jason Miles,Voices On The Corner
Dimmu Borgir - Master of Disharmony.mp3,Dimmu Borgir,Master of Disharmony,True,exact,100.0,TRAAPFQ128F42684DB,Dimmu Borgir,Master Of Disharmony
20_20 - It Goes On.mp3,20/20,It Goes On,True,exact,100.0,TRAASDM12903CD474E,20/20,It Goes On
Bebo Valdés - Inolvidable.mp3,Bebo Valdés,Inolvidable,False,,0.0,,,
Bongzilla - Witch Weed (Live).mp3,Bongzilla,Witch Weed (Live),True,exact,100.0,TRAAQPS128F429161D,Bongzilla,Witch Weed (Live)
S.U.P - The Cube (live).mp3,S.U.P,The Cube (live),True,exact,100.0,TRAAQYN128F92ED77E,S.U.P,The Cube (Live)
Deekline & Wizard - Sun is Shining.mp3,Deekline & Wizard,Sun is Shining,True,exact,100.0,TRAAPWD128F931ACD4,Deekline & Wizard,Sun Is Shining
Aberdeen - Beyond the Light.mp3,Aberdeen,Beyond the Light,True,exact,100.0,TRAAQZQ128EF35C51A,Aberdeen,Beyond the Light
