track_id,artist,title,key,mode,loudness,tempo,key_confidence,mode_confidence,h5_path
TRAABYW128F4244559,Alice Stuart,Kassie Jones,11,1,-8.514,110.382,0.809,0.521,data/millionsongsubset_extracted/MillionSongSubset\A\A\B\TRAABYW128F4244559.h5
TRAACHN128F1489601,Five Bolt Main,Made Like This (Live),7,1,-5.908,164.672,0.53,0.512,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACHN128F1489601.h5
TRAACIW12903CC0F6D,Clp,Superconfidential,6,0,-6.486,125.006,0.687,0.486,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACIW12903CC0F6D.h5
TRAACLV128F427E123,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),5,1,-4.516,90.022,0.762,0.539,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACLV128F427E123.h5
TRAACQT128F9331780,John Wesley,The Emperor Falls,4,0,-15.335,138.007,0.283,0.363,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACQT128F9331780.h5
TRAACPE128F421C1B9,Terry Callier,Do You Finally Need A Friend,6,1,-11.939,110.189,0.381,0.538,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACPE128F421C1B9.h5
TRAACOW128F933E35F,Faye Adams,Crazy Mixed Up World,8,1,-18.051,95.957,0.569,0.495,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACOW128F933E35F.h5
TRAACNS128F14A2DF5,Willie Bobo,Spanish Grease,8,1,-9.616,127.025,0.812,0.736,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACNS128F14A2DF5.h5
TRAACSL128F93462F4,The Shangri-Las,Twist and Shout,10,1,-10.922,130.1,0.254,0.042,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACSL128F93462F4.h5
TRAACTB12903CAAF15,Billie Jo Spears,It Makes No Difference Now,4,1,-9.983,160.839,0.384,0.402,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACTB12903CAAF15.h5
TRAACVS128E078BE39,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version),7,1,-7.762,41.993,0.299,0.464,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACVS128E078BE39.h5
TRAADHS12903CE70A9,Jacob Young,In A Subtle Way,1,1,-19.478,89.667,0.611,0.546,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADHS12903CE70A9.h5
TRAADDS128F425C68B,Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",4,0,-9.063,130.586,0.726,0.367,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADDS128F425C68B.h5
TRAADIV12903CB15C1,Scarlet's Remains,Spin,7,1,-7.469,115.061,0.673,0.579,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADIV12903CB15C1.h5
TRAADEV128F9348C0A,Javier Navarrete,Midnight Swim,3,1,-17.699,90.932,0.0,0.251,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADEV128F9348C0A.h5
TRAADED128F42741FD,Despina Vandi,OUTE ENA EFHARISTO,8,0,-8.879,128.292,0.532,0.516,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADED128F42741FD.h5
TRAACZK128F4243829,Sierra Maestra,¿Dónde va Chichi?,9,1,-9.512,189.646,0.724,0.364,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACZK128F4243829.h5
TRAADLH12903CA70EE,The Suicide Machines,Burning In The Aftermath,2,1,-2.022,115.887,0.421,0.589,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADLH12903CA70EE.h5
TRAADLN128F14832E9,The Rolling Stones,Angie (1993 Digital Remaster),9,0,-10.358,139.333,0.301,0.392,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADLN128F14832E9.h5
TRAADOF12903CAA1C1,John Hammond,I Can't Be Satisfied,7,1,-10.7,123.142,0.98,0.753,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADOF12903CAA1C1.h5
TRAADNA128F9331246,Stevie Ray Vaughan,Crossfire,1,1,-7.805,116.721,0.754,0.597,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADNA128F9331246.h5
TRAADLR12903CF8D7E,Roberto Torres,Sabor Guajiro,0,1,-12.716,117.271,0.863,0.671,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADLR12903CF8D7E.h5
TRAADLX128F1469250,Loudon Wainwright III,Human Cannonball,3,1,-15.663,102.428,0.544,0.596,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADLX128F1469250.h5
TRAADMH128F9343E59,R.L. Burnside,Glory Be,2,1,-6.944,89.984,0.0,0.0,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADMH128F9343E59.h5
TRAADQX128F422B4CF,Casiotone For The Painfully Alone,Nashville Parthenon,0,1,-10.93,141.919,0.522,0.474,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADQX128F422B4CF.h5
TRAADRN128F932D607,Ec8or,Cocain Ducks,10,0,-9.493,95.596,0.005,0.305,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADRN128F932D607.h5
TRAAEAM128F934B199,The Germs,Forming,11,0,-11.506,133.144,0.641,0.597,data/millionsongsubset_extracted/MillionSongSubset\A\A\E\TRAAEAM128F934B199.h5
TRAADVH128EF34DE7A,The New York Dolls,Human Being,11,1,-9.253,154.953,0.425,0.486,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADVH128EF34DE7A.h5
TRAADYB128F92D7E73,Eliane Elias,The More I See You,7,1,-12.009,86.091,0.391,0.319,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADYB128F92D7E73.h5
TRAADYI128E078FB38,Lost Boyz,Certain Things We Do,7,1,-11.043,90.218,0.715,0.614,data/millionsongsubset_extracted/MillionSongSubset\A\A\D\TRAADYI128E078FB38.h5
TRAAEDJ12903CCE390,Yamandu Costa,Mafuá,2,1,-14.179,205.317,0.105,0.433,data/millionsongsubset_extracted/MillionSongSubset\A\A\E\TRAAEDJ12903CCE390.h5
TRAAEEH128E0795DFE,Chris Rea,Driving Home For Christmas,9,1,-8.531,180.149,0.222,0.403,data/millionsongsubset_extracted/MillionSongSubset\A\A\E\TRAAEEH128E0795DFE.h5
TRAAELO128F9302DD1,Perrey And Kingsley,Spooks In Space,0,0,-8.541,102.538,0.61,0.489,data/millionsongsubset_extracted/MillionSongSubset\A\A\E\TRAAELO128F9302DD1.h5
TRAAEMJ128F425A917,Eurythmics,Tous Les Garçons Et Les Filles,0,1,-6.629,84.164,0.442,0.371,data/millionsongsubset_extracted/MillionSongSubset\A\A\E\TRAAEMJ128F425A917.h5
TRAAERU128F930674F,Vickie Winans,Make Me Over,11,0,-8.686,107.961,0.172,0.369,data/millionsongsubset_extracted/MillionSongSubset\A\A\E\TRAAERU128F930674F.h5
TRAAENP128F147BF32,John Cale,Movement 4 [from Kiss] (Album Version),7,1,-12.412,137.004,0.458,0.602,data/millionsongsubset_extracted/MillionSongSubset\A\A\E\TRAAENP128F147BF32.h5
TRAAEOU128F9309DE0,Suzanne Ciani,Stream,7,1,-21.552,106.33,0.527,0.613,data/millionsongsubset_extracted/MillionSongSubset\A\A\E\TRAAEOU128F9309DE0.h5
TRAAEUB12903CDD3EA,The Berzerker,Deform (live),1,1,-6.222,174.287,0.108,0.256,data/millionsongsubset_extracted/MillionSongSubset\A\A\E\TRAAEUB12903CDD3EA.h5
TRAAEWG128F930B3A4,Kings Of Leon,Wicker Chair,0,1,-5.907,116.823,0.612,0.735,data/millionsongsubset_extracted/MillionSongSubset\A\A\E\TRAAEWG128F930B3A4.h5
TRAAENC128F1451DE9,Francis Dunnery,Too Much Saturn,7,1,-13.33,124.175,0.666,0.658,data/millionsongsubset_extracted/MillionSongSubset\A\A\E\TRAAENC128F1451DE9.h5
TRAAEXM128F92D47C8,Edith Lefel,An ti chans',0,1,-4.638,101.972,0.29,0.389,data/millionsongsubset_extracted/MillionSongSubset\A\A\E\TRAAEXM128F92D47C8.h5
TRAAFON128F42926FB,Bruce Rowland,Rosemary Recalls,7,1,-26.266,115.642,0.469,0.591,data/millionsongsubset_extracted/MillionSongSubset\A\A\F\TRAAFON128F42926FB.h5
TRAAFMS128F933AB23,Soda Stereo,Entre Caníbales,7,1,-9.603,112.903,0.161,0.205,data/millionsongsubset_extracted/MillionSongSubset\A\A\F\TRAAFMS128F933AB23.h5
TRAAFKJ12903D02552,Murskahumppa,Ota kiinni,7,1,-8.488,110.787,0.379,0.401,data/millionsongsubset_extracted/MillionSongSubset\A\A\F\TRAAFKJ12903D02552.h5
TRAAFJW128F428A424,NOFX,Stickin In My Eye,4,0,-7.787,152.622,0.093,0.423,data/millionsongsubset_extracted/MillionSongSubset\A\A\F\TRAAFJW128F428A424.h5
TRAAFSM128F425A2C5,White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),5,1,-9.998,113.277,0.596,0.567,data/millionsongsubset_extracted/MillionSongSubset\A\A\F\TRAAFSM128F425A2C5.h5
TRAAFEB128F92F8694,Taras,I Will Love Again (JJ's Club Radio),11,0,-5.884,127.97,0.056,0.283,data/millionsongsubset_extracted/MillionSongSubset\A\A\F\TRAAFEB128F92F8694.h5
TRAAFRU128F9339158,Xcultures,Sudanese Dance,1,1,-6.305,125.013,0.652,0.694,data/millionsongsubset_extracted/MillionSongSubset\A\A\F\TRAAFRU128F9339158.h5
TRAAFUJ128F933F42B,Heavy D / McGruff,Wanna Be A Player,5,0,-9.161,96.979,0.665,0.606,data/millionsongsubset_extracted/MillionSongSubset\A\A\F\TRAAFUJ128F933F42B.h5
TRAAGKF128F932D5A2,Smartbomb,Complicate It,0,1,-2.658,132.022,0.53,0.501,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGKF128F932D5A2.h5
TRAAGJV128F1464090,Lesley Gore,It's My Party,9,1,-9.091,129.122,0.386,0.632,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGJV128F1464090.h5
TRAAGEC128E079252C,Nine Inch Nails,Metal,0,0,-12.951,63.017,0.05,0.395,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGEC128E079252C.h5
TRAAGHM128EF35CF8E,Nadine Renee,Next Time,2,1,-6.693,167.92,0.883,0.728,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGHM128EF35CF8E.h5
TRAAGGE128F9325E2C,Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),9,0,-11.751,144.603,0.052,0.142,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGGE128F9325E2C.h5
TRAAGCZ128F93210FD,Black Eyed Peas,Let's Get It Started,11,0,-4.882,105.206,0.205,0.332,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGCZ128F93210FD.h5
TRAAFYL128E07856A7,Van Halen,Panama (Remastered Album Version),8,1,-4.865,140.995,0.455,0.48,data/millionsongsubset_extracted/MillionSongSubset\A\A\F\TRAAFYL128E07856A7.h5
TRAAGKQ128F92EAF39,Suburbs,Monde De Fou,1,1,-4.42,183.92,0.842,0.721,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGKQ128F92EAF39.h5
TRAAGPF12903CE027E,Slim Whitman,Indian Love Call,3,1,-11.98,91.487,0.883,0.735,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGPF12903CE027E.h5
TRAAGOH128F42593CE,T.G. Sheppard,You Feel Good All Over,5,1,-15.581,82.343,1.0,0.886,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGOH128F42593CE.h5
TRAAGKS128F9314884,Emperor,Opus a Satana (Part 2),9,0,-11.051,89.867,0.0,0.0,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGKS128F9314884.h5
TRAAGPH128F4273C8D,Savage Garden,You Can Still Be Free,9,0,-11.215,84.69,0.0,0.0,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGPH128F4273C8D.h5
TRAAGNL128F4299BF1,Glen Campbell,I'm Gone This Time,1,0,-11.335,137.29,0.62,0.814,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGNL128F4299BF1.h5
TRAAGMJ12903CAD7D4,Julien Clerc,This Melody (Live),2,1,-9.97,119.896,0.633,0.605,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGMJ12903CAD7D4.h5
TRAAGPJ128F428CD1B,Queens Of The Stone Age,I Never Came,2,1,-8.165,115.606,0.08,0.665,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGPJ128F428CD1B.h5
TRAAHDH128F93094B6,Bézu,Le tortillard,8,1,-9.093,126.88,0.508,0.343,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHDH128F93094B6.h5
TRAAGVM128E0784D95,Borialis,Hourglass,2,1,-5.758,86.938,0.569,0.601,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGVM128E0784D95.h5
TRAAGVF128E0789785,Inspiral Carpets,Commercial Reign,2,1,-8.7,113.677,0.823,0.69,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGVF128E0789785.h5
TRAAGZU128EF360F47,Flor Silvestre,Caricia Y Herida,11,1,-8.133,106.049,0.847,0.646,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGZU128EF360F47.h5
TRAAGXN128F92DE52C,The Dirty Skirts,Wake,0,1,-4.907,141.936,0.613,0.656,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGXN128F92DE52C.h5
TRAAHEG128E07861C3,Redman,WKYA (drop),1,0,-10.296,85.008,0.074,0.492,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHEG128E07861C3.h5
TRAAHEH128F427FCEF,Solistiyhtye Suomi,Teräslintu,4,0,-12.839,133.699,0.718,0.674,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHEH128F427FCEF.h5
TRAAGUA128F93236E8,Hank Penny & The Lincoln Penny Orchestra,Dixie,7,0,-12.69,126.523,0.278,0.482,data/millionsongsubset_extracted/MillionSongSubset\A\A\G\TRAAGUA128F93236E8.h5
TRAAHER128F92E3FE9,Schizoid,Grim Prospects (Gross Prospects - Bad Trip Remix),9,1,-2.119,102.408,0.376,0.334,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHER128F92E3FE9.h5
TRAAHEQ128F93057B4,Eddie Cantor,Now's The Time To Fall In Love,11,1,-13.71,118.975,0.599,0.517,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHEQ128F93057B4.h5
TRAAHKE128F421389B,Sonny Simmons,A Distant Voice,1,1,-13.002,45.527,0.0,0.051,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHKE128F421389B.h5
TRAAHPZ12903CB4643,Citizen Kaned,President Johnson,8,0,-8.37,108.061,0.822,0.503,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHPZ12903CB4643.h5
TRAAHRF128F92FE234,The Brooklyn Tabernacle Choir,Lead Me Lord,7,1,-11.829,216.195,0.558,0.718,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHRF128F92FE234.h5
TRAAHJX128F9312B83,Kai Winding,Mangos,0,1,-14.438,112.006,0.0,0.138,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHJX128F9312B83.h5
TRAAHTH12903CCFFE1,Ellen McIlwaine,Spontanous Combustion,7,1,-6.29,132.428,0.699,0.527,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHTH12903CCFFE1.h5
TRAAHMO128F92DE7C9,Mira,Openbare Weg,4,1,-12.004,85.621,0.695,0.673,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHMO128F92DE7C9.h5
TRAAIAE128F42AC53D,Martina McBride,I Can't Stop Loving You,7,1,-13.627,100.194,0.96,0.634,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIAE128F42AC53D.h5
TRAAIAN12903CFF16D,Horace Andy,Thank You Lord,2,1,-11.479,151.911,0.171,0.239,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIAN12903CFF16D.h5
TRAAHXN128F9326097,Maurice Chevalier,Ma Louise,0,1,-27.433,140.956,0.371,0.484,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHXN128F9326097.h5
TRAAHVY128F92E25D6,Vince Guaraldi / Bola Sete,Choro,5,0,-15.761,168.307,0.238,0.07,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHVY128F92E25D6.h5
TRAAIBB12903CECB35,Tyrone Davis,Cheatin' In The Next Room,10,1,-10.466,161.976,0.46,0.379,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIBB12903CECB35.h5
TRAAHYV128F932A425,Carl Cox Vs Yousef,I Want You (Forever),1,1,-5.701,130.016,0.485,0.427,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHYV128F932A425.h5
TRAAHZP12903CA25F4,Organized Konfusion,Hate,11,0,-8.709,175.769,0.306,0.22,data/millionsongsubset_extracted/MillionSongSubset\A\A\H\TRAAHZP12903CA25F4.h5
TRAAIAX128F930531B,Nazz,How Can You Call That Beautiful (Stewkey Vocal),9,1,-6.302,119.691,0.606,0.475,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIAX128F930531B.h5
TRAAIHL128F92E6DDA,Boyz II Men,On Bended Knee,8,1,-7.103,116.473,0.497,0.491,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIHL128F92E6DDA.h5
TRAAIDY128F92CA454,Hot Tuna,Candy Man,0,1,-9.275,172.398,0.601,0.563,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIDY128F92CA454.h5
TRAAIIE128F4288BB1,Howard Armstrong,My Four Reasons,9,0,-13.495,126.821,0.0,0.094,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIIE128F4288BB1.h5
TRAAIGD12903CA2F3C,Rory Block,Three Is a Crowd,1,1,-13.836,90.101,0.936,0.763,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIGD12903CA2F3C.h5
TRAAINT128F933BBE0,Les Ogres De Barback,Niev nietch nievitch,4,0,-6.01,137.888,0.446,0.383,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAINT128F933BBE0.h5
TRAAIFG12903CB0BCB,Richard Burton,I See The Boys Of Summer,2,1,-37.398,109.823,0.45,0.685,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIFG12903CB0BCB.h5
TRAAILM128F93480BB,Miguel Gallardo,Eternamente Amame,5,1,-12.991,125.508,0.458,0.542,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAILM128F93480BB.h5
TRAAIII128F427D5D8,Donny Hathaway,Little Girl (LP Version),2,1,-15.144,111.191,0.499,0.652,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIII128F427D5D8.h5
TRAAJBU128F9326C02,Bob Margolin,You Rascal You,11,1,-12.651,110.168,0.228,0.374,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJBU128F9326C02.h5
TRAAIYR12903CD290D,Wolfmother,White Feather,4,0,-5.931,110.745,0.372,0.207,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIYR12903CD290D.h5
TRAAIXU128F4241E5C,Tony Joe White,I Want Love (Tween You & Me) (Album Version),2,1,-17.285,173.482,0.243,0.297,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIXU128F4241E5C.h5
TRAAJEK128F422F55A,Jupiter Rising,They Say (Album),0,0,-5.913,119.979,0.373,0.548,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJEK128F422F55A.h5
TRAAIRG128F93265E8,DJ X-Change featuring DJ Joey A,Come Over,6,0,-5.58,150.012,0.0,0.0,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIRG128F93265E8.h5
TRAAJAC128F148B530,The Roches,Christlike Roche,2,0,-14.248,130.027,0.626,0.575,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJAC128F148B530.h5
TRAAIXN128F428027A,Morel,Blue Taxi,10,1,-4.313,108.367,0.685,0.611,data/millionsongsubset_extracted/MillionSongSubset\A\A\I\TRAAIXN128F428027A.h5
TRAAJBU12903CE2831,Thomas Battenstein,Sympathy,9,0,-16.056,97.976,0.825,0.836,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJBU12903CE2831.h5
TRAAJEK12903CE351A,Dharma Bums,Simon's Folly,6,1,-5.541,156.968,0.81,0.864,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJEK12903CE351A.h5
TRAAJVJ128F42570AD,Mish Mash,Kolomeyke,2,1,-11.213,152.005,0.64,0.692,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJVJ128F42570AD.h5
TRAAJSX128F4275A1D,Nelson Ned,Brasas Vivas,9,0,-15.358,144.651,0.519,0.525,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJSX128F4275A1D.h5
TRAAJMH128E0785407,Marvin Sapp,More And More  (LP Version),1,1,-11.061,166.275,0.33,0.526,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJMH128E0785407.h5
TRAAJNM12903CF4750,James Hunter,Cowboy Ways,2,1,-7.04,114.971,0.862,1.0,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJNM12903CF4750.h5
TRAAJJV128F42A2F99,Bob Neuwirth,Biding Her Time,4,1,-18.114,152.267,0.965,0.744,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJJV128F42A2F99.h5
TRAAJJA12903CC518A,Saafir,Crawl Before You Ball (Album Version),5,1,-6.019,188.886,0.172,0.026,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJJA12903CC518A.h5
TRAAJJG128F4284B27,The Verve Pipe,Medicate Myself,9,1,-4.953,133.306,0.295,0.196,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJJG128F4284B27.h5
TRAAKAV128F931BE25,Ragheb Alama,A'chek Ouyounik (2009 Digital Remaster),7,0,-8.804,191.196,0.056,0.306,data/millionsongsubset_extracted/MillionSongSubset\A\A\K\TRAAKAV128F931BE25.h5
TRAAKDF128F92FA302,Foo Fighters,Hell,7,1,-5.699,152.127,0.458,0.44,data/millionsongsubset_extracted/MillionSongSubset\A\A\K\TRAAKDF128F92FA302.h5
TRAAKAS128F4246013,Porcupine Tree,Waiting,6,0,-7.982,124.04,0.644,0.607,data/millionsongsubset_extracted/MillionSongSubset\A\A\K\TRAAKAS128F4246013.h5
TRAAJYX128F4255568,Maxi Priest,Groovin' In The Midnight,10,0,-8.095,61.971,0.683,0.549,data/millionsongsubset_extracted/MillionSongSubset\A\A\J\TRAAJYX128F4255568.h5
